time,dist_01.dist,s00017-2.chdata,s00017-3.chdata,s00018-1.chdata,s00018-2.chdata,s00018-3.chdata,s0011-1.chdata,s0011-2.chdata,s0011-3.chdata,s0017-1.chdata,s0017-2.chdata,s0017-3.chdata,v00013.AccX,v00013.AccY,v00013.AccZ,v00023.AccX,v00023.AccY,v00023.AccZ,v00024.AccX,v00024.AccY,v00024.AccZ,v00028.AccX,v00028.AccY,v00028.AccZ,v00029.AccX,v00029.AccY,v00029.AccZ,v00033.AccX,v00033.AccY,v00033.AccZ
0,188.809,129.83311,255.43642,0,0,0,67.77359,0,196.91722,233.56268,129.83311,255.43642,0.0024,0.00305,-0.00305,-0.00443,-0.00684,0.0011,0.00151,0.00465,0.00105,0.01257,-0.00508,-0.00349,-0.00258,-0.00049,-0.00196,0.00315,0.01657,0.0083
0.02,188.805,129.79942,255.63843,0,0,0,67.785861,0,196.930329,233.1683,129.79942,255.63843,0.00273,-0.00683,0.00704,0.00325,0.0053,0.0015,0.00325,-0.00372,0.00383,0.00311,-0.01009,0.00322,0.0007,-0.00948,-0.00492,0.00451,-0.00664,-0.00412
0.04,188.806,129.83342,255.71796,0,0,0,67.798131,0,196.943437,233.23318,129.83342,255.71796,-0.00327,0.00355,-0.00257,-0.00087,-0.00144,-0.00213,0.01015,0.00044,0.00494,-0.00532,0.00166,-0.00015,0.00036,-0.0064,-0.00783,-0.00123,-0.00843,0.00139
0.06,188.813,129.75009,255.61728,0,0,0,67.810402,0,196.956546,233.54054,129.75009,255.61728,-0.00059,0.00523,0.00019,-0.00089,0.00267,0.00458,-0.00488,-0.00314,-0.00255,-0.00366,0.01082,0.00482,0.00463,-0.00024,0.00145,-0.00373,0.00768,-0.00188
0.08,188.814,129.71843,255.55185,0,0,0,67.822672,0,196.969654,233.55373,129.71843,255.55185,0.00203,-0.00428,-0.00108,0.00309,0.00482,0.00156,0.00134,-0.00016,-0.00259,0.00405,-0.00564,-0.00418,-0.00173,0.00132,-0.00113,0,0.0107,-0.00116
0.1,188.819,129.77928,255.36345,0,0,0,67.834943,0,196.982763,233.30235,129.77928,255.36345,-0.00153,-0.00897,0.00187,-0.00176,0.00348,0.00324,-0.00502,0.00216,0.00907,0.00069,-0.00811,0.01172,-0.00759,-0.00488,-0.00298,0.0054,-0.01403,0.00069
0.12,188.82,129.82812,255.31201,0,0,0,67.847214,0,196.995872,232.9621,129.82812,255.31201,-0.00646,0.0045,-0.00346,-0.00277,0.00206,-0.00376,-0.00509,0.00092,0.00471,-0.00548,0.00221,-0.00243,-0.00031,-0.00073,-0.0046,-0.00344,-0.00709,-0.0049
0.14,188.823,129.81329,255.30441,0,0,0,67.859484,0,197.00898,233.014209,129.81329,255.30441,0.00199,0.00106,-0.01096,0.00826,-0.00288,0.00761,-0.0063,0.00123,-0.00583,0.00008,0.00904,-0.00474,0.00476,0.00014,-0.00396,-0.00664,0.00967,0.00314
0.16,188.82,129.696331,255.140622,0,0,0,67.871755,0,197.022089,232.860522,129.696331,255.140622,0.00241,-0.00096,-0.00402,-0.00114,0.00084,0.00843,-0.00127,-0.00604,0.01063,0.00696,0.00448,0.01086,0.00425,-0.00058,0.00146,-0.00607,0.01091,0.00032
0.18,188.819,129.563812,255.11745,0,0,0,67.884025,0,197.035197,232.600813,129.563812,255.11745,-0.00529,-0.00046,-0.00815,0.00247,0.0033,-0.00532,0.00133,-0.00742,-0.00273,-0.00013,-0.01135,-0.00596,-0.00173,0.00245,0.00916,0.00255,-0.01425,0.00512
0.2,188.821,129.679819,255.205179,0,0,0,67.896296,0,197.048306,233.028455,129.679819,255.205179,-0.00902,-0.00091,-0.01033,0.00276,0.00304,0.00017,-0.00094,0.0046,0.00076,-0.00126,-0.00136,0.00291,-0.01,0.00007,0.00179,0.01176,-0.00419,-0.00392
0.22,188.822,129.868838,255.151401,0,0,0,67.908566,0,197.061414,233.375626,129.868838,255.151401,-0.00136,-0.00398,0.00734,-0.00149,-0.00045,0.00032,-0.00669,0.00498,0.00144,-0.00268,0.00683,0.00383,-0.00253,-0.00585,-0.00428,0.00548,0.02017,-0.0023
0.24,188.823,129.83154,255.14516,0,0,0,67.920837,0,197.074523,232.899026,129.83154,255.14516,-0.00129,0.00632,-0.00397,0.00049,-0.00373,0.00587,0.00147,0.00192,-0.0008,-0.00103,0.00851,0.0111,0.0006,-0.00221,-0.00317,-0.00013,0.00127,-0.00013
0.26,188.827,129.676122,255.13644,0,0,0,67.933108,0,197.087632,232.402976,129.676122,255.13644,-0.00328,-0.00609,-0.0029,0.00326,-0.00291,-0.01019,-0.00153,0.00169,-0.00301,-0.00412,-0.01029,0.00384,-0.00091,-0.00302,0.00129,0.00108,-0.01546,-0.00544
0.28,188.833,129.730379,254.940412,0,0,0,67.945378,0,197.10074,232.676567,129.730379,254.940412,-0.00405,0.0036,-0.0001,-0.00187,0.00992,-0.00654,0.00594,-0.00984,-0.00382,0.00116,-0.00216,-0.007,-0.00469,-0.00404,-0.00039,-0.00482,-0.0049,0.00391
0.3,188.837,129.964217,254.770222,0,0,0,67.957649,0,197.113849,232.968117,129.964217,254.770222,0.0026,0.00007,-0.01345,0.00256,-0.00359,-0.00685,0.00118,-0.01221,-0.00054,0.00824,0.00925,0.01118,0.00476,0.00137,0.00448,-0.00098,0.0187,-0.00333
0.32,188.831,130.070009,255.097206,0,0,0,67.969919,0,197.126957,233.110078,130.070009,255.097206,-0.00063,0.00001,0.0012,0.0008,0.00285,-0.00017,0.0016,-0.00009,0.00808,-0.00784,0.00325,0.00352,-0.00464,-0.00222,-0.00328,0.00205,0.00426,-0.00435
0.34,188.831,129.920752,255.686393,0,0,0,67.98219,0,197.140066,233.372377,129.920752,255.686393,-0.0002,-0.00265,-0.00546,-0.01023,-0.00729,0.00024,-0.00124,0.00502,0.0034,-0.0063,-0.01013,-0.00309,-0.00578,0.00293,-0.00082,0.00529,-0.017529,0.00406
0.36,188.833,129.774932,255.825928,0,0,0,67.994461,0,197.153175,233.723796,129.774932,255.825928,0.0064,-0.00434,-0.00001,-0.00473,-0.00458,-0.01028,-0.00016,0.00656,-0.00667,0.00427,0.0022,0.00044,-0.01164,-0.00254,-0.00107,-0.00721,0.00069,-0.00585
0.38,188.831,129.663563,255.496558,0,0,0,68.006731,0,197.166283,234.192429,129.663563,255.496558,-0.00861,0.01115,-0.00793,0.00038,0.00187,-0.00146,0.00175,0.00194,-0.0049,0.00216,0.01469,0.00733,-0.00619,0.00568,0.00535,-0.00406,0.0124,-0.00043
0.4,188.833,129.603561,255.315674,0,0,0,68.019002,0,197.179392,234.518152,129.603561,255.315674,-0.00015,-0.00268,-0.00841,-0.00323,0.00311,0.00251,0.00117,-0.00302,0.00481,-0.00787,-0.00586,-0.00128,-0.00046,0.00388,-0.00558,0.00911,-0.00156,-0.00281
0.42,188.829,129.654919,255.433007,0,0,0,68.031272,0,197.1925,233.971643,129.654919,255.433007,0.00275,0.00058,0.00277,-0.00473,0.00564,0.00409,-0.00183,-0.0006,-0.00459,-0.00416,-0.00932,-0.00389,0.00589,-0.00103,0.0061,0.01299,-0.0049,0.00125
0.44,188.832,129.870215,255.467329,0,0,0,68.043543,0,197.205609,232.978064,129.870215,255.467329,-0.00136,-0.00243,-0.00458,0.0063,-0.00335,-0.00028,-0.00663,-0.00174,0.00445,0.00998,0.00297,0.00279,-0.00113,-0.00683,0.00315,-0.00299,-0.00008,0.0015
0.46,188.826,129.966998,255.207406,0,0,0,68.055814,0,197.218718,233.192565,129.966998,255.207406,-0.00012,0.00613,-0.00658,0.0031,0.00359,-0.00333,-0.00067,0.00079,0.00629,0.00369,0.00554,-0.00316,-0.00658,-0.00105,-0.00816,-0.01118,0.01046,-0.00398
0.48,188.826,129.827853,254.853418,0,0,0,68.068084,0,197.231826,233.526682,129.827853,254.853418,0.00214,0.00099,-0.00302,0.00135,-0.00957,0.00281,0.00001,-0.00092,-0.0053,-0.00605,-0.0049,-0.00061,0.00283,0.00294,-0.0062,0.00511,-0.00141,-0.00383
0.5,188.826,129.727402,255.129573,0,0,0,68.080355,0,197.244935,233.857692,129.727402,255.129573,0.0001,-0.00912,0.0054,-0.00033,0.00187,0.00814,0.0013,-0.00386,-0.01108,-0.00668,-0.00827,0.00559,-0.00085,-0.00087,0.00223,0.00959,-0.0098,0.00381
0.52,188.829,129.74661,255.401244,0,0,0,68.092625,0,197.258043,233.8746,129.74661,255.401244,-0.0066,0.00074,0.00051,0.00096,-0.00319,0.00081,0.00195,0.00153,0.00515,0.00978,0.0099,0.00775,0.00758,0.00618,-0.00078,-0.00738,0.00346,-0.00102
0.539999,188.818,129.769589,255.3963,0,0,0,68.104896,0,197.271152,233.594567,129.769589,255.3963,0.00432,0.00606,-0.00509,0.00207,0.00137,-0.00029,-0.00339,0.00142,0.00464,0.00519,0.01527,0.01293,0.00265,-0.0062,-0.0004,-0.00954,-0.00128,-0.00704
0.559999,188.818,129.873378,255.503567,0,0,0,68.117166,0,197.28426,233.323146,129.873378,255.503567,-0.00397,0.00462,-0.00997,0.00021,-0.00027,0.00281,-0.00176,0.00103,0.00711,-0.00743,-0.014669,-0.008959,0.00148,-0.00257,-0.00376,0.00664,-0.01193,0.00445
0.579999,188.816,129.923289,255.725245,0,0,0,68.129437,0,197.297369,232.742824,129.923289,255.725245,0.00565,-0.0015,-0.00729,0.00207,0.00081,-0.00209,0.00013,-0.00521,0.00478,0.00012,-0.01194,0.00352,-0.00177,0.00016,0.00289,0.0003,-0.007,0.00469
0.599999,188.830999,129.873341,255.634432,0,0,0,68.141708,0,197.310478,232.656832,129.873341,255.634432,0.00397,-0.00007,-0.00937,0.00156,0.00026,-0.00835,-0.00032,-0.00572,-0.00737,-0.00251,0.010199,-0.00686,-0.00186,-0.0015,-0.00365,0.00124,0.012529,-0.013039
0.619999,188.827,129.728553,255.400156,0,0,0,68.153978,0,197.323586,233.253466,129.728553,255.400156,-0.00326,-0.0027,-0.00057,-0.00224,-0.00109,-0.00018,-0.00326,-0.00637,-0.00697,-0.0008,0.00898,0.00122,-0.00456,0.00073,0.00426,-0.00238,0.01046,0.009309
