time,dist_01.dist
="2026/04/02 15:44:35.405",192.549
="2026/04/02 15:44:35.425",192.586
="2026/04/02 15:44:35.445",192.578
="2026/04/02 15:44:35.465",192.55
="2026/04/02 15:44:35.485",192.537
="2026/04/02 15:44:35.505",192.562
="2026/04/02 15:44:35.525",192.562
="2026/04/02 15:44:35.545",192.537
="2026/04/02 15:44:35.565",192.511
="2026/04/02 15:44:35.585",192.509
="2026/04/02 15:44:35.605",192.532
="2026/04/02 15:44:35.625",192.537
="2026/04/02 15:44:35.645",192.534
="2026/04/02 15:44:35.665",192.523
="2026/04/02 15:44:35.685",192.519
="2026/04/02 15:44:35.705",192.555
="2026/04/02 15:44:35.725",192.562
="2026/04/02 15:44:35.745",192.538
="2026/04/02 15:44:35.765",192.525
="2026/04/02 15:44:35.785",192.546
="2026/04/02 15:44:35.805",192.552
="2026/04/02 15:44:35.825",192.543
="2026/04/02 15:44:35.845",192.519
="2026/04/02 15:44:35.865",192.527
="2026/04/02 15:44:35.885",192.548
="2026/04/02 15:44:35.905",192.551
="2026/04/02 15:44:35.925",192.524
="2026/04/02 15:44:35.945",192.525
="2026/04/02 15:44:35.965",192.539
="2026/04/02 15:44:35.985",192.55
="2026/04/02 15:44:36.005",192.539
="2026/04/02 15:44:36.025",192.531
="2026/04/02 15:44:36.045",192.529
="2026/04/02 15:44:36.065",192.543
="2026/04/02 15:44:36.085",192.545
="2026/04/02 15:44:36.105",192.531
="2026/04/02 15:44:36.125",192.526
="2026/04/02 15:44:36.145",192.533
="2026/04/02 15:44:36.165",192.544
="2026/04/02 15:44:36.185",192.543
="2026/04/02 15:44:36.205",192.524
="2026/04/02 15:44:36.225",192.521
="2026/04/02 15:44:36.245",192.557
="2026/04/02 15:44:36.265",192.565
="2026/04/02 15:44:36.285",192.532
="2026/04/02 15:44:36.305",192.507
="2026/04/02 15:44:36.325",192.53
="2026/04/02 15:44:36.345",192.568
="2026/04/02 15:44:36.365",192.562
="2026/04/02 15:44:36.385",192.531
="2026/04/02 15:44:37.003",192.559
="2026/04/02 15:44:37.023",192.562
="2026/04/02 15:44:37.043",192.572
="2026/04/02 15:44:37.063",192.56
="2026/04/02 15:44:37.083",192.517
="2026/04/02 15:44:37.103",192.537
="2026/04/02 15:44:37.123",192.553
="2026/04/02 15:44:37.143",192.555
="2026/04/02 15:44:37.163",192.536
="2026/04/02 15:44:37.183",192.518
="2026/04/02 15:44:37.203",192.528
="2026/04/02 15:44:37.223",192.55
="2026/04/02 15:44:37.243",192.546
="2026/04/02 15:44:37.263",192.521
="2026/04/02 15:44:37.283",192.552
="2026/04/02 15:44:37.303",192.574
="2026/04/02 15:44:37.323",192.569
="2026/04/02 15:44:37.343",192.555
="2026/04/02 15:44:37.363",192.555
="2026/04/02 15:44:37.383",192.558
="2026/04/02 15:44:37.403",192.558
="2026/04/02 15:44:37.423",192.549
="2026/04/02 15:44:37.443",192.543
="2026/04/02 15:44:37.463",192.549
="2026/04/02 15:44:37.483",192.553
="2026/04/02 15:44:37.503",192.544
="2026/04/02 15:44:37.523",192.544
="2026/04/02 15:44:37.543",192.559
="2026/04/02 15:44:37.563",192.551
="2026/04/02 15:44:37.583",192.548
="2026/04/02 15:44:37.603",192.557
="2026/04/02 15:44:37.623",192.561
="2026/04/02 15:44:37.643",192.538
="2026/04/02 15:44:37.663",192.534
="2026/04/02 15:44:37.683",192.544
="2026/04/02 15:44:37.703",192.561
="2026/04/02 15:44:37.723",192.542
="2026/04/02 15:44:37.743",192.525
="2026/04/02 15:44:37.763",192.536
="2026/04/02 15:44:37.783",192.556
="2026/04/02 15:44:37.803",192.55
="2026/04/02 15:44:37.823",192.531
="2026/04/02 15:44:37.843",192.53
="2026/04/02 15:44:37.863",192.557
="2026/04/02 15:44:37.883",192.563
="2026/04/02 15:44:37.903",192.552
="2026/04/02 15:44:37.923",192.54
="2026/04/02 15:44:37.943",192.562
="2026/04/02 15:44:37.963",192.574
="2026/04/02 15:44:37.983",192.557
="2026/04/02 15:44:38.602",192.542
="2026/04/02 15:44:38.622",192.539
="2026/04/02 15:44:38.642",192.563
="2026/04/02 15:44:38.662",192.564
="2026/04/02 15:44:38.682",192.547
="2026/04/02 15:44:38.702",192.544
="2026/04/02 15:44:38.722",192.564
="2026/04/02 15:44:38.742",192.569
="2026/04/02 15:44:38.762",192.564
="2026/04/02 15:44:38.782",192.556
="2026/04/02 15:44:38.802",192.569
="2026/04/02 15:44:38.822",192.572
="2026/04/02 15:44:38.842",192.567
="2026/04/02 15:44:38.862",192.569
="2026/04/02 15:44:38.882",192.571
="2026/04/02 15:44:38.902",192.566
="2026/04/02 15:44:38.922",192.565
="2026/04/02 15:44:38.942",192.574
="2026/04/02 15:44:38.962",192.575
="2026/04/02 15:44:38.982",192.563
="2026/04/02 15:44:39.002",192.549
="2026/04/02 15:44:39.022",192.558
="2026/04/02 15:44:39.042",192.568
="2026/04/02 15:44:39.062",192.56
="2026/04/02 15:44:39.082",192.542
="2026/04/02 15:44:39.102",192.547
="2026/04/02 15:44:39.122",192.565
="2026/04/02 15:44:39.142",192.558
="2026/04/02 15:44:39.162",192.555
="2026/04/02 15:44:39.182",192.561
="2026/04/02 15:44:39.202",192.57
="2026/04/02 15:44:39.222",192.561
="2026/04/02 15:44:39.242",192.555
="2026/04/02 15:44:39.262",192.558
="2026/04/02 15:44:39.282",192.567
="2026/04/02 15:44:39.302",192.561
="2026/04/02 15:44:39.322",192.553
="2026/04/02 15:44:39.342",192.559
="2026/04/02 15:44:39.362",192.565
="2026/04/02 15:44:39.382",192.575
="2026/04/02 15:44:39.402",192.576
="2026/04/02 15:44:39.422",192.577
="2026/04/02 15:44:39.442",192.582
="2026/04/02 15:44:39.462",192.586
="2026/04/02 15:44:39.482",192.589
="2026/04/02 15:44:39.502",192.581
="2026/04/02 15:44:39.522",192.584
="2026/04/02 15:44:39.542",192.586
="2026/04/02 15:44:39.562",192.582
="2026/04/02 15:44:39.582",192.587
="2026/04/02 15:44:40.200",192.577
="2026/04/02 15:44:40.220",192.581
="2026/04/02 15:44:40.240",192.582
="2026/04/02 15:44:40.260",192.584
="2026/04/02 15:44:40.280",192.573
="2026/04/02 15:44:40.300",192.572
="2026/04/02 15:44:40.320",192.584
="2026/04/02 15:44:40.340",192.576
="2026/04/02 15:44:40.360",192.574
="2026/04/02 15:44:40.380",192.573
="2026/04/02 15:44:40.400",192.576
="2026/04/02 15:44:40.420",192.578
="2026/04/02 15:44:40.440",192.573
="2026/04/02 15:44:40.460",192.572
="2026/04/02 15:44:40.480",192.572
="2026/04/02 15:44:40.500",192.581
="2026/04/02 15:44:40.520",192.576
="2026/04/02 15:44:40.540",192.57
="2026/04/02 15:44:40.560",192.576
="2026/04/02 15:44:40.580",192.577
="2026/04/02 15:44:40.600",192.578
="2026/04/02 15:44:40.620",192.572
="2026/04/02 15:44:40.640",192.574
="2026/04/02 15:44:40.660",192.576
="2026/04/02 15:44:40.680",192.573
="2026/04/02 15:44:40.700",192.576
="2026/04/02 15:44:40.720",192.571
="2026/04/02 15:44:40.740",192.571
="2026/04/02 15:44:40.760",192.574
="2026/04/02 15:44:40.780",192.569
="2026/04/02 15:44:40.800",192.57
="2026/04/02 15:44:40.820",192.564
="2026/04/02 15:44:40.840",192.566
="2026/04/02 15:44:40.860",192.567
="2026/04/02 15:44:40.880",192.568
="2026/04/02 15:44:40.900",192.567
="2026/04/02 15:44:40.920",192.565
="2026/04/02 15:44:40.940",192.568
="2026/04/02 15:44:40.960",192.577
="2026/04/02 15:44:40.980",192.572
="2026/04/02 15:44:41.000",192.567
="2026/04/02 15:44:41.020",192.57
="2026/04/02 15:44:41.040",192.556
="2026/04/02 15:44:41.060",192.555
="2026/04/02 15:44:41.080",192.549
="2026/04/02 15:44:41.100",192.565
="2026/04/02 15:44:41.120",192.567
="2026/04/02 15:44:41.140",192.538
="2026/04/02 15:44:41.160",192.523
="2026/04/02 15:44:41.180",192.54
="2026/04/02 15:44:41.815",192.576
="2026/04/02 15:44:41.835",192.584
="2026/04/02 15:44:41.855",192.519
="2026/04/02 15:44:41.875",192.535
="2026/04/02 15:44:41.895",192.609
="2026/04/02 15:44:41.915",192.598
="2026/04/02 15:44:41.935",192.528
="2026/04/02 15:44:41.955",192.538
="2026/04/02 15:44:41.975",192.583
="2026/04/02 15:44:41.995",192.586
="2026/04/02 15:44:42.015",192.583
="2026/04/02 15:44:42.035",192.568
="2026/04/02 15:44:42.055",192.551
="2026/04/02 15:44:42.075",192.573
="2026/04/02 15:44:42.095",192.591
="2026/04/02 15:44:42.115",192.61
="2026/04/02 15:44:42.135",192.577
="2026/04/02 15:44:42.155",192.622
="2026/04/02 15:44:42.175",192.603
="2026/04/02 15:44:42.195",192.627
="2026/04/02 15:44:42.215",192.586
="2026/04/02 15:44:42.235",192.552
="2026/04/02 15:44:42.255",192.528
="2026/04/02 15:44:42.275",192.591
="2026/04/02 15:44:42.295",192.613
="2026/04/02 15:44:42.315",192.595
="2026/04/02 15:44:42.335",192.637
="2026/04/02 15:44:42.355",192.573
="2026/04/02 15:44:42.375",192.577
="2026/04/02 15:44:42.395",192.604
="2026/04/02 15:44:42.415",192.576
="2026/04/02 15:44:42.435",192.569
="2026/04/02 15:44:42.455",192.551
="2026/04/02 15:44:42.475",192.614
="2026/04/02 15:44:42.495",192.627
="2026/04/02 15:44:42.515",192.56
="2026/04/02 15:44:42.535",192.503
="2026/04/02 15:44:42.555",192.583
="2026/04/02 15:44:42.575",192.611
="2026/04/02 15:44:42.595",192.554
="2026/04/02 15:44:42.615",192.496
="2026/04/02 15:44:42.635",192.543
="2026/04/02 15:44:42.655",192.601
="2026/04/02 15:44:42.675",192.586
="2026/04/02 15:44:42.695",192.554
="2026/04/02 15:44:42.715",192.548
="2026/04/02 15:44:42.735",192.615
="2026/04/02 15:44:42.755",192.546
="2026/04/02 15:44:42.775",192.559
="2026/04/02 15:44:42.795",192.568
="2026/04/02 15:44:43.413",192.564
="2026/04/02 15:44:43.433",192.545
="2026/04/02 15:44:43.453",192.544
="2026/04/02 15:44:43.473",192.57
="2026/04/02 15:44:43.493",192.576
="2026/04/02 15:44:43.513",192.536
="2026/04/02 15:44:43.533",192.527
="2026/04/02 15:44:43.553",192.567
="2026/04/02 15:44:43.573",192.593
="2026/04/02 15:44:43.593",192.542
="2026/04/02 15:44:43.613",192.52
="2026/04/02 15:44:43.633",192.543
="2026/04/02 15:44:43.653",192.595
="2026/04/02 15:44:43.673",192.558
="2026/04/02 15:44:43.693",192.518
="2026/04/02 15:44:43.713",192.541
="2026/04/02 15:44:43.733",192.575
="2026/04/02 15:44:43.753",192.562
="2026/04/02 15:44:43.773",192.537
="2026/04/02 15:44:43.793",192.536
="2026/04/02 15:44:43.813",192.56
="2026/04/02 15:44:43.833",192.561
="2026/04/02 15:44:43.853",192.537
="2026/04/02 15:44:43.873",192.542
="2026/04/02 15:44:43.893",192.548
="2026/04/02 15:44:43.913",192.556
="2026/04/02 15:44:43.933",192.539
="2026/04/02 15:44:43.953",192.533
="2026/04/02 15:44:43.973",192.556
="2026/04/02 15:44:43.993",192.553
="2026/04/02 15:44:44.013",192.531
="2026/04/02 15:44:44.033",192.541
="2026/04/02 15:44:44.053",192.55
="2026/04/02 15:44:44.073",192.549
="2026/04/02 15:44:44.093",192.532
="2026/04/02 15:44:44.113",192.54
="2026/04/02 15:44:44.133",192.559
="2026/04/02 15:44:44.153",192.558
="2026/04/02 15:44:44.173",192.535
="2026/04/02 15:44:44.193",192.537
="2026/04/02 15:44:44.213",192.561
="2026/04/02 15:44:44.233",192.566
="2026/04/02 15:44:44.253",192.539
="2026/04/02 15:44:44.273",192.532
="2026/04/02 15:44:44.293",192.548
="2026/04/02 15:44:44.313",192.564
="2026/04/02 15:44:44.333",192.548
="2026/04/02 15:44:44.353",192.54
="2026/04/02 15:44:44.373",192.549
="2026/04/02 15:44:44.393",192.558
="2026/04/02 15:44:45.011",192.56
="2026/04/02 15:44:45.031",192.551
="2026/04/02 15:44:45.051",192.551
="2026/04/02 15:44:45.071",192.556
="2026/04/02 15:44:45.091",192.56
="2026/04/02 15:44:45.111",192.552
="2026/04/02 15:44:45.131",192.554
="2026/04/02 15:44:45.151",192.546
="2026/04/02 15:44:45.171",192.554
="2026/04/02 15:44:45.191",192.549
="2026/04/02 15:44:45.211",192.543
="2026/04/02 15:44:45.231",192.539
="2026/04/02 15:44:45.251",192.549
="2026/04/02 15:44:45.271",192.544
="2026/04/02 15:44:45.291",192.544
="2026/04/02 15:44:45.311",192.539
="2026/04/02 15:44:45.331",192.549
="2026/04/02 15:44:45.351",192.544
="2026/04/02 15:44:45.371",192.542
="2026/04/02 15:44:45.391",192.545
="2026/04/02 15:44:45.411",192.547
="2026/04/02 15:44:45.431",192.544
="2026/04/02 15:44:45.451",192.541
="2026/04/02 15:44:45.471",192.54
="2026/04/02 15:44:45.491",192.553
="2026/04/02 15:44:45.511",192.55
="2026/04/02 15:44:45.531",192.54
="2026/04/02 15:44:45.551",192.547
="2026/04/02 15:44:45.571",192.552
="2026/04/02 15:44:45.591",192.555
="2026/04/02 15:44:45.611",192.549
="2026/04/02 15:44:45.631",192.548
="2026/04/02 15:44:45.651",192.559
="2026/04/02 15:44:45.671",192.558
="2026/04/02 15:44:45.691",192.545
="2026/04/02 15:44:45.711",192.554
="2026/04/02 15:44:45.731",192.56
="2026/04/02 15:44:45.751",192.562
="2026/04/02 15:44:45.771",192.553
="2026/04/02 15:44:45.791",192.549
="2026/04/02 15:44:45.811",192.561
="2026/04/02 15:44:45.831",192.558
="2026/04/02 15:44:45.851",192.553
="2026/04/02 15:44:45.871",192.554
="2026/04/02 15:44:45.891",192.552
="2026/04/02 15:44:45.911",192.554
="2026/04/02 15:44:45.931",192.547
="2026/04/02 15:44:45.951",192.554
="2026/04/02 15:44:45.971",192.553
="2026/04/02 15:44:45.991",192.551
="2026/04/02 15:44:46.609",192.548
="2026/04/02 15:44:46.629",192.556
="2026/04/02 15:44:46.649",192.558
="2026/04/02 15:44:46.669",192.554
="2026/04/02 15:44:46.689",192.554
="2026/04/02 15:44:46.709",192.564
="2026/04/02 15:44:46.729",192.557
="2026/04/02 15:44:46.749",192.56
="2026/04/02 15:44:46.769",192.559
="2026/04/02 15:44:46.789",192.561
="2026/04/02 15:44:46.809",192.564
="2026/04/02 15:44:46.829",192.559
="2026/04/02 15:44:46.849",192.557
="2026/04/02 15:44:46.869",192.559
="2026/04/02 15:44:46.889",192.56
="2026/04/02 15:44:46.909",192.559
="2026/04/02 15:44:46.929",192.56
="2026/04/02 15:44:46.949",192.557
="2026/04/02 15:44:46.969",192.559
="2026/04/02 15:44:46.989",192.558
="2026/04/02 15:44:47.009",192.56
="2026/04/02 15:44:47.029",192.558
="2026/04/02 15:44:47.049",192.553
="2026/04/02 15:44:47.069",192.558
="2026/04/02 15:44:47.089",192.554
="2026/04/02 15:44:47.109",192.551
="2026/04/02 15:44:47.129",192.553
="2026/04/02 15:44:47.149",192.546
="2026/04/02 15:44:47.169",192.547
="2026/04/02 15:44:47.189",192.543
="2026/04/02 15:44:47.209",192.542
="2026/04/02 15:44:47.229",192.544
="2026/04/02 15:44:47.249",192.537
="2026/04/02 15:44:47.269",192.537
="2026/04/02 15:44:47.289",192.536
="2026/04/02 15:44:47.309",192.533
="2026/04/02 15:44:47.329",192.534
="2026/04/02 15:44:47.349",192.53
="2026/04/02 15:44:47.369",192.535
="2026/04/02 15:44:47.389",192.533
="2026/04/02 15:44:47.409",192.525
="2026/04/02 15:44:47.429",192.525
="2026/04/02 15:44:47.449",192.531
="2026/04/02 15:44:47.469",192.532
="2026/04/02 15:44:47.489",192.53
="2026/04/02 15:44:47.509",192.521
="2026/04/02 15:44:47.529",192.53
="2026/04/02 15:44:47.549",192.535
="2026/04/02 15:44:47.569",192.526
="2026/04/02 15:44:47.589",192.526
="2026/04/02 15:44:48.207",192.534
="2026/04/02 15:44:48.227",192.532
="2026/04/02 15:44:48.247",192.532
="2026/04/02 15:44:48.267",192.531
="2026/04/02 15:44:48.287",192.54
="2026/04/02 15:44:48.307",192.539
="2026/04/02 15:44:48.327",192.536
="2026/04/02 15:44:48.347",192.538
="2026/04/02 15:44:48.367",192.546
="2026/04/02 15:44:48.387",192.547
="2026/04/02 15:44:48.407",192.544
="2026/04/02 15:44:48.427",192.549
="2026/04/02 15:44:48.447",192.555
="2026/04/02 15:44:48.467",192.555
="2026/04/02 15:44:48.487",192.551
="2026/04/02 15:44:48.507",192.56
="2026/04/02 15:44:48.527",192.567
="2026/04/02 15:44:48.547",192.567
="2026/04/02 15:44:48.567",192.566
="2026/04/02 15:44:48.587",192.569
="2026/04/02 15:44:48.607",192.579
="2026/04/02 15:44:48.627",192.575
="2026/04/02 15:44:48.647",192.573
="2026/04/02 15:44:48.667",192.574
="2026/04/02 15:44:48.687",192.578
="2026/04/02 15:44:48.707",192.578
="2026/04/02 15:44:48.727",192.568
="2026/04/02 15:44:48.747",192.567
="2026/04/02 15:44:48.767",192.571
="2026/04/02 15:44:48.787",192.558
="2026/04/02 15:44:48.807",192.555
="2026/04/02 15:44:48.827",192.552
