time,dist_01.dist,s00017-2.chdata,s00017-3.chdata,s00018-1.chdata,s00018-2.chdata,s00018-3.chdata,s0011-1.chdata,s0011-2.chdata,s0011-3.chdata,s0017-1.chdata,s0017-2.chdata,s0017-3.chdata,v00013.AccX,v00013.AccY,v00013.AccZ,v00023.AccX,v00023.AccY,v00023.AccZ,v00024.AccX,v00024.AccY,v00024.AccZ,v00028.AccX,v00028.AccY,v00028.AccZ,v00029.AccX,v00029.AccY,v00029.AccZ,v00033.AccX,v00033.AccY,v00033.AccZ
0,187.451,133.91768,252.57756,0,0,0,70.23545,0,199.07732,226.17813,133.91768,252.57756,0.0031,0.00053,0.01283,-0.00487,0.00275,0.01116,0.0073,0.01356,-0.00406,-0.00979,-0.02042,-0.0071,0.01164,-0.00964,-0.00798,0.00515,-0.00412,0.01229
0.02,187.45,133.8703,252.35948,0,0,0,70.244755,0,199.062163,225.58678,133.8703,252.35948,0.00268,-0.00952,0.00379,-0.00165,0.00168,-0.00113,0.00113,0.00156,0.00512,-0.00915,0.00324,0.01117,-0.00124,0.00294,0.00995,-0.00591,0.0034,-0.00427
0.04,187.447,133.80225,252.3022,0,0,0,70.254059,0,199.047006,225.46811,133.80225,252.3022,0.00035,0.00051,0.00809,0.00056,0.00645,0.00803,-0.00256,0.01163,-0.00392,0.01455,0.01015,0.00364,-0.01713,-0.00459,0.00559,-0.00033,0.00516,-0.0029
0.06,187.446,133.83896,252.37631,0,0,0,70.263364,0,199.031849,225.29393,133.83896,252.37631,0.00676,0.00533,0.00801,0.00064,0.00672,-0.01017,-0.00664,0.01062,0.00109,0.00265,0.00688,-0.00201,-0.00494,-0.01106,-0.01462,0.00476,0.00785,0.0106
0.08,187.45,133.94386,252.25816,0,0,0,70.272668,0,199.016692,225.68468,133.94386,252.25816,0.00834,0.00443,-0.00164,-0.0006,0.00704,-0.00115,-0.00072,0.00101,0.00627,-0.0012,-0.01048,-0.00098,-0.00049,0.00642,-0.00342,0.01093,-0.01883,-0.01198
0.1,187.451,134.06927,252.3401,0,0,0,70.281973,0,199.001535,225.61964,134.06927,252.3401,-0.00346,0.00663,0.01177,0.00119,0.00961,0.00253,0.00199,-0.00666,0.00567,-0.00022,0.00002,0.01615,-0.01765,0.0178,-0.00152,-0.00163,-0.0044,0.00088
0.12,187.451,134.06107,252.52843,0,0,0,70.291278,0,198.986378,224.97209,134.06107,252.52843,0.00565,-0.00654,-0.00384,0.0089,0.00537,-0.01709,-0.01206,0.00296,0.00424,0.0016,0.01568,-0.00136,0.00959,0.00819,-0.00867,-0.00075,0.01496,0.00546
0.14,187.448,133.838423,252.581759,0,0,0,70.300582,0,198.971221,225.120438,133.838423,252.581759,-0.0051,-0.00224,0.02117,-0.00034,0.00709,0.00093,-0.00007,-0.01306,0.00062,0.00037,0.00491,0.00028,-0.01448,0.01007,-0.00134,-0.00615,-0.00002,0.00269
0.16,187.447,133.700122,252.54543,0,0,0,70.309887,0,198.956064,225.874721,133.700122,252.54543,-0.0087,-0.0147,0.01066,0.00099,0.00356,0.00325,-0.00403,0.00237,0.00493,-0.00282,-0.00915,0.01205,-0.00355,0.00328,-0.00452,-0.00273,-0.01015,-0.00448
0.18,187.448,133.68169,252.56075,0,0,0,70.319191,0,198.940907,226.057848,133.68169,252.56075,-0.00224,-0.00854,-0.00507,0.00447,0.00721,-0.0148,-0.00245,-0.00785,-0.01514,-0.00479,-0.0093,0.0038,0.00716,-0.00503,-0.00434,0.00507,-0.00098,0.00849
