code,type,time,value1,value2,value3
s00017-2,sgd,1775479432,130.59647,,
s00017-2,sgd,1775479432.02,130.78891,,
s00017-2,sgd,1775479432.04,130.90633,,
s00017-2,sgd,1775479432.06,130.82753,,
s00017-2,sgd,1775479432.08,130.72723,,
s00017-2,sgd,1775479432.1,130.57181,,
s00017-2,sgd,1775479432.12,130.49771,,
s00017-2,sgd,1775479432.14,130.49318,,
s00017-2,sgd,1775479432.16,130.59834,,
s00017-2,sgd,1775479432.18,130.73109,,
s00017-2,sgd,1775479432.2,130.70271,,
s00017-2,sgd,1775479432.22,130.63135,,
s00017-2,sgd,1775479432.24,130.48682,,
s00017-2,sgd,1775479432.26,130.57187,,
s00017-2,sgd,1775479432.28,130.71077,,
s00017-2,sgd,1775479432.3,130.86151,,
s00017-2,sgd,1775479432.32,130.75713,,
s00017-2,sgd,1775479432.34,130.69774,,
s00017-2,sgd,1775479432.36,130.71774,,
s00017-2,sgd,1775479432.38,130.72452,,
s00017-2,sgd,1775479432.4,130.81992,,
s00017-2,sgd,1775479432.42,130.68413,,
s00017-2,sgd,1775479432.44,130.57803,,
s00017-2,sgd,1775479432.46,130.67676,,
s00017-2,sgd,1775479432.48,130.81401,,
s00017-2,sgd,1775479432.5,130.81491,,
s00017-2,sgd,1775479432.52,130.5038,,
s00017-2,sgd,1775479432.54,130.508,,
s00017-2,sgd,1775479432.56,130.87259,,
s00017-2,sgd,1775479432.58,131.00427,,
s00017-2,sgd,1775479432.6,130.79906,,
s00017-2,sgd,1775479432.62,130.57155,,
s00017-2,sgd,1775479432.64,130.51672,,
s00017-2,sgd,1775479432.66,130.74048,,
s00017-2,sgd,1775479432.68,130.91844,,
s00017-2,sgd,1775479432.7,130.81523,,
s00017-2,sgd,1775479432.72,130.6201,,
s00017-2,sgd,1775479432.74,130.5787,,
s00017-2,sgd,1775479432.76,130.59392,,
s00017-2,sgd,1775479432.78,130.62915,,
s00017-2,sgd,1775479432.8,131.01321,,
s00017-2,sgd,1775479432.82,130.82254,,
s00017-2,sgd,1775479432.84,129.21748,,
s00017-2,sgd,1775479432.86,126.78328,,
s00017-2,sgd,1775479432.88,125.44939,,
s00017-2,sgd,1775479432.9,126.39321,,
s00017-2,sgd,1775479432.92,127.64686,,
s00017-2,sgd,1775479432.94,128.60881,,
s00017-2,sgd,1775479432.96,130.02283,,
s00017-2,sgd,1775479432.98,131.26338,,
s00017-3,sgd,1775479432,260.8143,,
s00017-3,sgd,1775479432.02,259.63379,,
s00017-3,sgd,1775479432.04,253.308,,
s00017-3,sgd,1775479432.06,247.37212,,
s00017-3,sgd,1775479432.08,243.29915,,
s00017-3,sgd,1775479432.1,249.89046,,
s00017-3,sgd,1775479432.12,256.70547,,
s00017-3,sgd,1775479432.14,256.1749,,
s00017-3,sgd,1775479432.16,253.02628,,
s00017-3,sgd,1775479432.18,251.8367,,
s00017-3,sgd,1775479432.2,250.40051,,
s00017-3,sgd,1775479432.22,249.32631,,
