batch,time,label,ref_index,position_cm,disp_abs,baseline,disp_rel
batch1,107.165898,ref1,1,38.0,192.235465,192.235465,0.0
batch1,561.778464,ref2,2,68.0,190.599309,190.599309,0.0
batch1,1028.186019,ref3,3,98.0,190.710783,190.710783,0.0
batch2,9.232219,ref1,1,53.0,188.863851,188.863851,0.0
batch2,95.850429,ref2,2,83.0,188.452511,188.452511,0.0
batch2,96.791292,ref3,3,113.0,188.461209,188.461209,0.0
batch3,14.043606999999998,ref1,1,45.5,189.25006,189.25006,0.0
batch3,87.07036099999999,ref2,2,60.5,186.67708,186.67708,0.0
batch3,189.905803,ref3,3,75.5,187.543724,187.543724,0.0
batch3,279.694281,ref4,4,90.5,187.42534,187.42534,0.0
batch3,388.147166,ref5,5,105.5,186.848217,186.848217,0.0
