model,sensor_code,load_code,sensor_cm,load_cm,k_disp_vs_mass,c_disp_vs_mass,r2,n,k_surface_pred,c_surface_pred
s1_l1,1,1,38.0,38.0,-0.26651919083692854,-1.9293540983962847,0.09149965641751123,11,-0.207780804636013,-1.4264950188840757
s1_l2,1,2,38.0,68.0,-1.7626576784778167,13.738970253285824,0.6373803485280596,11,-1.791834578082614,14.592986368055492
s1_l3,1,3,38.0,98.0,-2.5458156759686714,27.87070247142082,0.5996152169468425,11,-2.130467139094389,18.078227386293378
s1_l4,1,4,38.0,128.0,-0.5861868685603365,0.2409619951509367,0.20860474470371237,11,-1.0842919914366167,9.029228035829618
s1_l5,1,5,38.0,158.0,0.5004873331004065,-12.201610276138247,0.38385081990051517,11,0.5402985245133003,-12.554011683335887
s2_l1,2,1,68.0,38.0,0.43593819844097137,6.290473826998419,0.19368693418019778,11,0.2678104077104879,8.513566720512024
s2_l2,2,2,68.0,68.0,-1.3323358899636775,26.252781518433327,0.5712831574287878,11,-1.4249853973766484,25.522355027657788
s2_l3,2,3,68.0,98.0,-1.7362064426778685,27.849715822531255,0.5288810153304282,11,-1.6934559264685491,29.996902966101857
s2_l4,2,4,68.0,128.0,-1.2474359747984083,20.485047870508257,0.7125104675965213,11,-1.4047246898324808,21.937210535844258
s2_l5,2,5,68.0,158.0,0.08842366564157195,6.435589892193713,0.017000830444140913,11,0.4786956414115071,1.3432777368849713
s3_l1,3,1,98.0,38.0,-0.4306113029108431,7.563574065380116,0.23063549071440004,11,-0.2384354765567518,3.9882959461163665
s3_l2,3,2,98.0,68.0,-0.9871120168908327,15.674079064616686,0.4328685185180643,11,-1.2102102078643737,21.98639117346832
s3_l3,3,3,98.0,98.0,-2.3523128374782285,34.015903091006734,0.5692950578955756,11,-2.31300262015088,27.4502460321186
s3_l4,3,4,98.0,128.0,-1.6110448067460568,18.108423334842072,0.8461119247570759,11,-1.265889904888084,20.379860522067162
s3_l5,3,5,98.0,158.0,0.008936596419748304,-0.7820539204712466,0.000449361643490076,11,-0.3497948706041676,0.7752346433141213
