time,v00018.AccX,v00018.AccY,v00018.AccZ,v00033.AccX,v00033.AccY,v00033.AccZ,s00018-1.chdata,s00018-2.chdata,s00018-3.chdata,v00029.AccX,v00029.AccY,v00029.AccZ,v00023.AccX,v00023.AccY,v00023.AccZ,v00035.AccX,v00035.AccY,v00035.AccZ,s0005-2.chdata,s0005-3.chdata,v00028.AccX,v00028.AccY,v00028.AccZ,v00015.AccX,v00015.AccY,v00015.AccZ,s0013-1.chdata,s0013-2.chdata,s0013-3.chdata,s00017-2.chdata,s00017-3.chdata,s0017-1.chdata,s0017-2.chdata,s0017-3.chdata,s0011-1.chdata,s0011-2.chdata,s0011-3.chdata,v00036.AccX,v00036.AccY,v00036.AccZ,v00025.AccX,v00025.AccY,v00025.AccZ,v00024.AccX,v00024.AccY,v00024.AccZ,v00014.AccX,v00014.AccY,v00014.AccZ,v00026.AccX,v00026.AccY,v00026.AccZ,v00034.AccX,v00034.AccY,v00034.AccZ
="2026/04/02 16:24:07.360",0.01247,0.03151,0.02528,-0.07164,-0.02383,0.04077,0,13.15952,0,-0.01938,0.01584,0.02313,0.00588,0.0023,-0.02416,-0.03515,-0.00569,0.00491,,,-0.00444,-0.04737,-0.07888,0.01632,-0.01238,0.01955,,,,,,,,,,,,-0.00526,-0.11149,0.22544,0.02897,-0.04543,0.08391,,,,,,,,,,,,
="2026/04/02 16:24:07.380",0.02544,0.01338,0.04225,0.01057,0.01006,0.01602,0,13.28039,0,-0.01608,0.00544,0.01209,-0.0226,-0.02007,-0.0604,0.03384,0.014,-0.04997,,,-0.00204,0.02659,0.08198,-0.00525,-0.01095,0.07572,,,,,,,,,,,,0.04424,0.08018,-0.13836,0.01157,-0.08281,-0.00054,,,,,,,,,,,,
="2026/04/02 16:24:07.400",-0.01559,0.2145,0.09047,0.02863,0.03797,-0.03283,0,12.93427,0,-0.0157,0.01064,-0.02766,0.0111,-0.00571,0.0287,-0.03178,0.05289,-0.01956,,,-0.01447,0.02965,-0.0355,0.00398,-0.01316,0.00753,,,,,,,,,,,,0.07119,0.08402,0.01985,0.05794,-0.0607,0.05147,,,,,,,,,,,,
="2026/04/02 16:24:07.420",-0.00605,0.02144,-0.08964,-0.02532,-0.01954,0.02072,0,12.8862,0,0.00421,0.0132,0.00809,0.00667,-0.0059,0.01009,-0.0429,-0.01826,0.04827,,,0.01989,0.02546,-0.03215,0.00116,0.02494,0.06045,,,,,,,,,,,,0.0353,-0.07751,-0.16953,-0.0482,-0.0279,-0.02474,,,,,,,,,,,,
="2026/04/02 16:24:07.440",0.01208,-0.07715,0.08048,-0.01829,-0.00817,0.03734,0,13.43393,0,0.0052,-0.00853,0.01018,-0.04273,0.0328,-0.02751,0.09546,-0.05514,0.031,,,-0.00848,-0.03093,0.05452,-0.00006,0.02702,0.00685,,,,,,,,,,,,-0.04418,0.09716,-0.13789,-0.06306,0.10297,-0.03614,,,,,,,,,,,,
="2026/04/02 16:24:07.460",-0.12915,-0.05955,-0.0592,-0.00616,-0.00621,0.01088,0,12.98319,0,0.00235,-0.01009,-0.00444,0.03964,0.07818,0.0056,0.02189,0.01355,-0.08726,,,-0.00317,-0.02367,0.0651,-0.011,-0.01081,0.03947,,,,,,,,,,,,-0.12356,0.05619,-0.26123,-0.00491,0.02946,-0.13552,,,,,,,,,,,,
="2026/04/02 16:24:07.480",-0.02684,0.02032,-0.13528,0.03098,0.00969,0.01733,0,12.8014,0,0.0053,-0.00783,0.00099,0.0417,-0.03571,0.11477,-0.04013,0.01101,0.07016,,,-0.04119,-0.03557,-0.03232,-0.00833,-0.00108,0.02255,,,,,,,,,,,,-0.02576,0.04951,-0.12266,-0.06013,0.08874,0.01792,,,,,,,,,,,,
="2026/04/02 16:24:07.500",0.03389,0.01512,0.13328,-0.00414,0.00335,-0.01734,0,12.83143,0,0.0117,0.01899,0.03538,0.00043,0.01731,0.03846,-0.02344,-0.02791,0.02998,,,0.01669,0.02286,0.08237,0.0022,0.00748,0.01596,,,,,,,,,,,,-0.01871,-0.00253,-0.01999,-0.0103,0.02722,0.0405,,,,,,,,,,,,
="2026/04/02 16:24:07.520",0.0201,0.00049,0.06401,0.01008,-0.00739,-0.00354,0,12.9633,0,0.01364,-0.03104,0.02821,-0.01586,0.01652,-0.11623,-0.03378,-0.0041,-0.06259,,,0.00942,-0.01267,0.01936,-0.01012,-0.02548,0.01423,,,,,,,,,,,,0.06461,-0.05104,0.01414,-0.02172,0.03985,0.08871,,,,,,,,,,,,
="2026/04/02 16:24:07.540",-0.06153,0.01988,-0.08066,-0.00597,0.00965,-0.01504,0,12.75492,0,-0.0146,0.00478,-0.01554,-0.03518,0.0108,0.0005,0.07307,-0.05873,-0.00549,,,0.01036,-0.03331,0.00867,-0.00275,0.01992,0.02784,,,,,,,,,,,,0.06949,-0.18905,0.13969,0.01318,-0.07199,-0.00547,,,,,,,,,,,,
="2026/04/02 16:24:07.560",-0.0747,0.02831,-0.0918,0.01735,0.01078,0.03854,0,12.66381,0,-0.00851,-0.00296,0.00734,-0.01517,0.05078,0.07274,-0.01356,-0.03058,0.06853,,,-0.06674,0.02138,-0.08103,0.00164,-0.02195,-0.02658,,,,,,,,,,,,0.05813,-0.18251,0.14631,0.01185,-0.10565,0.0448,,,,,,,,,,,,
