time,dist_01.dist
="2026/04/02 16:24:07.670",192.659
="2026/04/02 16:24:07.690",192.629
="2026/04/02 16:24:07.710",192.601
="2026/04/02 16:24:07.730",192.624
="2026/04/02 16:24:07.750",192.651
="2026/04/02 16:24:07.770",192.63
="2026/04/02 16:24:07.790",192.589
="2026/04/02 16:24:07.810",192.576
="2026/04/02 16:24:07.830",192.585
="2026/04/02 16:24:07.850",192.618
="2026/04/02 16:24:07.870",192.611
="2026/04/02 16:24:07.890",192.59
="2026/04/02 16:24:07.910",192.61
="2026/04/02 16:24:07.930",192.613
="2026/04/02 16:24:07.950",192.623
="2026/04/02 16:24:07.970",192.618
="2026/04/02 16:24:07.990",192.614
="2026/04/02 16:24:08.010",192.616
="2026/04/02 16:24:08.030",192.608
="2026/04/02 16:24:08.050",192.605
="2026/04/02 16:24:08.070",192.612
="2026/04/02 16:24:08.090",192.615
="2026/04/02 16:24:08.110",192.609
="2026/04/02 16:24:08.130",192.606
="2026/04/02 16:24:08.150",192.584
="2026/04/02 16:24:08.170",192.574
="2026/04/02 16:24:08.190",192.582
="2026/04/02 16:24:08.210",192.587
="2026/04/02 16:24:08.230",192.587
="2026/04/02 16:24:08.250",192.575
="2026/04/02 16:24:08.270",192.578
="2026/04/02 16:24:08.290",192.587
="2026/04/02 16:24:08.310",192.585
="2026/04/02 16:24:08.330",192.584
="2026/04/02 16:24:08.350",192.582
="2026/04/02 16:24:08.370",192.582
="2026/04/02 16:24:08.390",192.589
="2026/04/02 16:24:08.410",192.606
="2026/04/02 16:24:08.430",192.583
="2026/04/02 16:24:08.450",192.518
="2026/04/02 16:24:08.470",192.352
="2026/04/02 16:24:08.490",192.299
="2026/04/02 16:24:08.510",191.811
="2026/04/02 16:24:08.530",191.199
="2026/04/02 16:24:08.550",190.912
="2026/04/02 16:24:08.570",190.769
="2026/04/02 16:24:08.590",191.221
="2026/04/02 16:24:08.610",191.38
="2026/04/02 16:24:08.630",191.439
="2026/04/02 16:24:08.650",191.214
="2026/04/02 16:24:09.285",191.111
="2026/04/02 16:24:09.305",191.146
="2026/04/02 16:24:09.325",191.482
="2026/04/02 16:24:09.345",191.77
="2026/04/02 16:24:09.365",191.756
="2026/04/02 16:24:09.385",191.673
="2026/04/02 16:24:09.405",191.632
="2026/04/02 16:24:09.425",191.527
="2026/04/02 16:24:09.445",191.494
="2026/04/02 16:24:09.465",191.493
="2026/04/02 16:24:09.485",191.428
="2026/04/02 16:24:09.505",191.388
="2026/04/02 16:24:09.525",191.509
="2026/04/02 16:24:09.545",191.609
="2026/04/02 16:24:09.565",191.655
="2026/04/02 16:24:09.585",191.759
="2026/04/02 16:24:09.605",191.85
="2026/04/02 16:24:09.625",191.841
="2026/04/02 16:24:09.645",191.952
="2026/04/02 16:24:09.665",192.049
="2026/04/02 16:24:09.685",191.993
="2026/04/02 16:24:09.705",192.035
="2026/04/02 16:24:09.725",192.078
="2026/04/02 16:24:09.745",192.093
="2026/04/02 16:24:09.765",192.114
="2026/04/02 16:24:09.785",192.187
="2026/04/02 16:24:09.805",192.187
="2026/04/02 16:24:09.825",192.133
="2026/04/02 16:24:09.845",192.158
="2026/04/02 16:24:09.865",192.156
="2026/04/02 16:24:09.885",192.19
="2026/04/02 16:24:09.905",192.248
="2026/04/02 16:24:09.925",192.278
="2026/04/02 16:24:09.945",192.282
="2026/04/02 16:24:09.965",192.297
="2026/04/02 16:24:09.985",192.337
="2026/04/02 16:24:10.005",192.389
="2026/04/02 16:24:10.025",192.45
="2026/04/02 16:24:10.045",192.417
="2026/04/02 16:24:10.065",192.36
="2026/04/02 16:24:10.085",192.374
="2026/04/02 16:24:10.105",192.359
="2026/04/02 16:24:10.125",192.378
="2026/04/02 16:24:10.145",192.529
="2026/04/02 16:24:10.165",192.623
="2026/04/02 16:24:10.185",192.636
="2026/04/02 16:24:10.205",192.607
="2026/04/02 16:24:10.225",192.619
="2026/04/02 16:24:10.245",192.621
="2026/04/02 16:24:10.265",192.62
="2026/04/02 16:24:11.027",192.612
="2026/04/02 16:24:11.047",192.602
="2026/04/02 16:24:11.067",192.616
="2026/04/02 16:24:11.087",192.623
="2026/04/02 16:24:11.107",192.615
="2026/04/02 16:24:11.127",192.609
="2026/04/02 16:24:11.147",192.609
="2026/04/02 16:24:11.167",192.582
="2026/04/02 16:24:11.187",192.566
="2026/04/02 16:24:11.207",192.527
="2026/04/02 16:24:11.227",192.52
="2026/04/02 16:24:11.247",192.548
="2026/04/02 16:24:11.267",192.543
="2026/04/02 16:24:11.287",192.539
="2026/04/02 16:24:11.307",192.629
="2026/04/02 16:24:11.327",192.796
="2026/04/02 16:24:11.347",192.813
="2026/04/02 16:24:11.367",192.813
="2026/04/02 16:24:11.387",192.683
="2026/04/02 16:24:11.407",192.706
="2026/04/02 16:24:11.427",192.814
="2026/04/02 16:24:11.447",192.747
="2026/04/02 16:24:11.467",192.709
="2026/04/02 16:24:11.487",192.698
="2026/04/02 16:24:11.507",192.718
="2026/04/02 16:24:11.527",192.685
="2026/04/02 16:24:11.547",192.583
="2026/04/02 16:24:11.567",192.581
="2026/04/02 16:24:11.587",192.577
="2026/04/02 16:24:11.607",192.613
="2026/04/02 16:24:11.627",192.627
="2026/04/02 16:24:11.647",192.594
="2026/04/02 16:24:11.667",192.578
="2026/04/02 16:24:11.687",192.597
="2026/04/02 16:24:11.707",192.572
="2026/04/02 16:24:11.727",192.55
="2026/04/02 16:24:11.747",192.595
="2026/04/02 16:24:11.767",192.585
="2026/04/02 16:24:11.787",192.591
="2026/04/02 16:24:11.807",192.557
="2026/04/02 16:24:11.827",192.581
="2026/04/02 16:24:11.847",192.557
="2026/04/02 16:24:11.867",192.563
="2026/04/02 16:24:11.887",192.592
="2026/04/02 16:24:11.907",192.56
="2026/04/02 16:24:11.927",192.578
="2026/04/02 16:24:11.947",192.584
="2026/04/02 16:24:11.967",192.577
="2026/04/02 16:24:11.987",192.582
="2026/04/02 16:24:12.007",192.588
="2026/04/02 16:24:12.690",192.581
="2026/04/02 16:24:12.710",192.561
="2026/04/02 16:24:12.730",192.568
="2026/04/02 16:24:12.750",192.602
="2026/04/02 16:24:12.770",192.571
="2026/04/02 16:24:12.790",192.582
="2026/04/02 16:24:12.810",192.64
="2026/04/02 16:24:12.830",192.576
="2026/04/02 16:24:12.850",192.499
="2026/04/02 16:24:12.870",192.518
="2026/04/02 16:24:12.890",192.557
="2026/04/02 16:24:12.910",192.568
="2026/04/02 16:24:12.930",192.547
="2026/04/02 16:24:12.950",192.523
="2026/04/02 16:24:12.970",192.57
="2026/04/02 16:24:12.990",192.576
="2026/04/02 16:24:13.010",192.641
="2026/04/02 16:24:13.030",192.595
="2026/04/02 16:24:13.050",192.535
="2026/04/02 16:24:13.070",192.533
="2026/04/02 16:24:13.090",192.588
="2026/04/02 16:24:13.110",192.65
="2026/04/02 16:24:13.130",192.643
="2026/04/02 16:24:13.150",192.643
="2026/04/02 16:24:13.170",192.676
="2026/04/02 16:24:13.190",192.716
="2026/04/02 16:24:13.210",192.665
="2026/04/02 16:24:13.230",192.586
="2026/04/02 16:24:13.250",192.619
="2026/04/02 16:24:13.270",192.647
="2026/04/02 16:24:13.290",192.735
="2026/04/02 16:24:13.310",192.736
="2026/04/02 16:24:13.330",192.713
="2026/04/02 16:24:13.350",192.676
="2026/04/02 16:24:13.370",192.706
="2026/04/02 16:24:13.390",192.729
="2026/04/02 16:24:13.410",192.745
="2026/04/02 16:24:13.430",192.693
="2026/04/02 16:24:13.450",192.652
="2026/04/02 16:24:13.470",192.601
="2026/04/02 16:24:13.490",192.614
="2026/04/02 16:24:13.510",192.607
="2026/04/02 16:24:13.530",192.598
="2026/04/02 16:24:13.550",192.526
="2026/04/02 16:24:13.570",192.55
="2026/04/02 16:24:13.590",192.596
="2026/04/02 16:24:13.610",192.587
="2026/04/02 16:24:13.630",192.567
="2026/04/02 16:24:13.650",192.556
="2026/04/02 16:24:13.670",192.57
="2026/04/02 16:24:14.288",192.588
="2026/04/02 16:24:14.308",192.592
="2026/04/02 16:24:14.328",192.557
="2026/04/02 16:24:14.348",192.556
="2026/04/02 16:24:14.368",192.587
="2026/04/02 16:24:14.388",192.613
="2026/04/02 16:24:14.408",192.598
="2026/04/02 16:24:14.428",192.572
="2026/04/02 16:24:14.448",192.59
="2026/04/02 16:24:14.468",192.607
="2026/04/02 16:24:14.488",192.594
="2026/04/02 16:24:14.508",192.579
="2026/04/02 16:24:14.528",192.578
="2026/04/02 16:24:14.548",192.609
="2026/04/02 16:24:14.568",192.588
="2026/04/02 16:24:14.588",192.618
="2026/04/02 16:24:14.608",192.596
="2026/04/02 16:24:14.628",192.598
="2026/04/02 16:24:14.648",192.6
="2026/04/02 16:24:14.668",192.589
="2026/04/02 16:24:14.688",192.619
