code,type,time,value1,value2,value3
s00017-2,sgd,1775476770,133.91768,,
s00017-2,sgd,1775476770.02,133.8703,,
s00017-2,sgd,1775476770.04,133.80225,,
s00017-2,sgd,1775476770.06,133.83896,,
s00017-2,sgd,1775476770.08,133.94386,,
s00017-2,sgd,1775476770.1,134.06927,,
s00017-2,sgd,1775476770.12,134.06107,,
s00017-2,sgd,1775476770.14,133.83842,,
s00017-2,sgd,1775476770.16,133.70012,,
s00017-2,sgd,1775476770.18,133.68169,,
s00017-2,sgd,1775476770.2,133.83871,,
s00017-2,sgd,1775476770.22,134.00891,,
s00017-2,sgd,1775476770.24,134.08286,,
s00017-2,sgd,1775476770.26,134.01636,,
s00017-2,sgd,1775476770.28,134.04684,,
s00017-2,sgd,1775476770.3,133.90323,,
s00017-2,sgd,1775476770.32,133.81308,,
s00017-2,sgd,1775476770.34,133.93614,,
s00017-2,sgd,1775476770.36,133.92433,,
s00017-2,sgd,1775476770.38,133.84911,,
s00017-2,sgd,1775476770.4,133.81374,,
s00017-2,sgd,1775476770.42,133.84946,,
s00017-2,sgd,1775476770.44,133.88667,,
s00017-2,sgd,1775476770.46,133.89902,,
s00017-2,sgd,1775476770.48,133.95535,,
s00017-2,sgd,1775476770.5,134.02829,,
s00017-2,sgd,1775476770.52,134.01254,,
s00017-2,sgd,1775476770.54,133.80898,,
s00017-2,sgd,1775476770.56,133.70094,,
s00017-2,sgd,1775476770.58,133.82475,,
s00017-2,sgd,1775476770.6,133.91811,,
s00017-2,sgd,1775476770.62,133.89168,,
s00017-2,sgd,1775476770.64,133.88016,,
s00017-2,sgd,1775476770.66,133.91162,,
s00017-2,sgd,1775476770.68,133.94353,,
s00017-2,sgd,1775476770.7,133.8625,,
s00017-2,sgd,1775476770.72,133.82533,,
s00017-2,sgd,1775476770.74,133.92532,,
s00017-2,sgd,1775476770.76,134.10616,,
s00017-2,sgd,1775476770.78,134.16592,,
s00017-2,sgd,1775476770.8,134.05536,,
s00017-2,sgd,1775476770.82,133.95171,,
s00017-2,sgd,1775476770.84,134.03508,,
s00017-2,sgd,1775476770.86,134.0148,,
s00017-2,sgd,1775476770.88,133.87584,,
s00017-2,sgd,1775476770.9,133.87299,,
s00017-2,sgd,1775476770.92,133.88138,,
s00017-2,sgd,1775476770.94,133.80301,,
s00017-2,sgd,1775476770.96,133.85004,,
s00017-2,sgd,1775476770.98,134.04045,,
s00017-3,sgd,1775476770,252.57756,,
s00017-3,sgd,1775476770.02,252.35948,,
s00017-3,sgd,1775476770.04,252.3022,,
s00017-3,sgd,1775476770.06,252.37631,,
s00017-3,sgd,1775476770.08,252.25816,,
s00017-3,sgd,1775476770.1,252.3401,,
s00017-3,sgd,1775476770.12,252.52843,,
s00017-3,sgd,1775476770.14,252.58176,,
s00017-3,sgd,1775476770.16,252.54543,,
s00017-3,sgd,1775476770.18,252.56075,,
s00017-3,sgd,1775476770.2,252.48769,,
s00017-3,sgd,1775476770.22,252.24678,,
s00017-3,sgd,1775476770.24,251.90233,,
s00017-3,sgd,1775476770.26,251.68663,,
s00017-3,sgd,1775476770.28,252.02252,,
s00017-3,sgd,1775476770.3,252.66162,,
s00017-3,sgd,1775476770.32,253.04054,,
s00017-3,sgd,1775476770.34,252.97131,,
s00017-3,sgd,1775476770.36,252.91826,,
s00017-3,sgd,1775476770.38,252.81784,,
s00017-3,sgd,1775476770.4,252.61731,,
s00017-3,sgd,1775476770.42,252.65501,,
s00017-3,sgd,1775476770.44,252.79848,,
s00017-3,sgd,1775476770.46,252.81212,,
s00017-3,sgd,1775476770.48,252.75186,,
s00017-3,sgd,1775476770.5,252.73431,,
s00017-3,sgd,1775476770.52,252.69046,,
s00017-3,sgd,1775476770.54,252.5936,,
s00017-3,sgd,1775476770.56,252.30721,,
s00017-3,sgd,1775476770.58,252.2354,,
s00017-3,sgd,1775476770.6,252.14854,,
s00017-3,sgd,1775476770.62,251.96809,,
s00017-3,sgd,1775476770.64,252.11089,,
s00017-3,sgd,1775476770.66,252.578,,
s00017-3,sgd,1775476770.68,252.92622,,
s00017-3,sgd,1775476770.7,252.72217,,
s00017-3,sgd,1775476770.72,252.26534,,
s00017-3,sgd,1775476770.74,252.01466,,
