time,dist_01.dist,s00017-2.chdata,s00017-3.chdata,s00018-1.chdata,s00018-2.chdata,s00018-3.chdata,s0011-1.chdata,s0011-2.chdata,s0011-3.chdata,s0017-1.chdata,s0017-2.chdata,s0017-3.chdata,v00013.AccX,v00013.AccY,v00013.AccZ,v00023.AccX,v00023.AccY,v00023.AccZ,v00024.AccX,v00024.AccY,v00024.AccZ,v00028.AccX,v00028.AccY,v00028.AccZ,v00029.AccX,v00029.AccY,v00029.AccZ,v00033.AccX,v00033.AccY,v00033.AccZ
0,187.531,130.59647,260.8143,0,0,0,79.38996,0,199.3436,230.47205,130.59647,260.8143,-0.00474,0.00818,-0.00768,-0.00114,-0.00628,0.00617,0.33286,-0.60602,1.31668,-0.00106,-0.00891,-0.00432,-0.57134,-0.28008,2.81284,0.00809,0.00017,-0.00515
0.02,187.531,130.78891,259.63379,0,0,0,79.401622,0,199.428692,229.98245,130.78891,259.63379,0.00775,-0.00001,0.01645,0.00609,-0.01307,0.00721,-0.16796,-0.17632,0.81228,0.00181,0.00281,0.00851,0.38351,0.49196,-1.82556,0.00298,-0.00021,0.00306
0.04,187.531,130.90633,253.308,0,0,0,79.413284,0,199.513784,228.30869,130.90633,253.308,0.00187,-0.0003,-0.00558,-0.0096,0.00234,0.00047,-0.32973,0.02221,1.07771,-0.00294,0.00109,-0.00476,0.25809,-0.08897,-3.70421,-0.00366,0.00389,0.01684
0.06,187.531,130.82753,247.37212,0,0,0,79.424945,0,199.598876,227.19902,130.82753,247.37212,-0.00426,0.00539,0.01341,0.00223,-0.00155,-0.00425,-0.18811,-0.02143,0.60385,0.00325,0.00181,0.00298,-0.54696,0.04032,0.14845,0.0196,0.01175,-0.04953
0.08,187.531,130.72723,243.29915,0,0,0,79.436607,0,199.683968,227.1723,130.72723,243.29915,0.00301,0.00051,-0.0263,-0.0076,0.0053,-0.00306,-0.25582,-0.75042,0.59285,-0.00112,-0.00158,0.0019,-0.66598,-0.55766,-0.28903,-0.02088,0.00474,-0.00865
0.1,187.531,130.57181,249.89046,0,0,0,79.448269,0,199.769061,228.46765,130.57181,249.89046,-0.01494,-0.00232,0.01254,0.00713,0.00577,-0.00349,-0.03349,-0.47837,-2.0367,0.00229,-0.01009,-0.00723,0.09586,0.90657,1.1541,0.0009,0.00271,-0.032
0.12,187.56,130.49771,256.70547,0,0,0,79.459931,0,199.854153,228.33492,130.49771,256.70547,0.00526,0.00359,-0.01143,-0.00275,-0.00291,0.00809,0.08944,0.81985,1.39682,0.00441,0.00012,0.00279,0.46703,0.48589,0.80152,0.01183,-0.00908,0.019279
0.14,187.561,130.49318,256.174906,0,0,0,79.471593,0,199.939245,227.50949,130.49318,256.174906,-0.00115,0.00699,-0.00462,0.00458,-0.00434,0.01218,-0.060988,0.561853,1.575558,0.00556,-0.00091,0.00133,0.317342,-0.843784,-2.005667,0.00303,0.0057,0.00919
0.16,187.625,130.598339,253.026318,0,0,0,79.483254,0,200.024337,228.087323,130.598339,253.026318,-0.0033,0.00318,-0.01648,-0.00195,-0.01063,0.00979,0.031689,0.164455,0.783219,0.0003,-0.00641,0.00177,-0.060355,-0.463195,-0.283951,-0.00731,0.00813,-0.01976
0.18,187.673,130.731088,251.836714,0,0,0,79.494916,0,200.109429,228.495205,130.731088,251.836714,-0.00015,-0.00606,-0.00298,0.00268,0.00722,0.02162,0.136519,-0.578471,0.627672,0.00315,-0.00044,0.00124,0.333885,0.642887,-1.886311,-0.00657,-0.00816,0.031819
