batch,time,label,dist_pos,load_pos,mass_code,mass_value,position_cm,disp_abs,baseline,disp_rel
batch1,138.528528,110,1,1,0,4.0,38.0,190.082187,192.235465,-2.1532780000000002
batch1,150.21165699999997,111,1,1,1,5.159,38.0,189.503632,192.235465,-2.7318329999999946
batch1,158.556749,112,1,1,2,6.386,38.0,188.933382,192.235465,-3.3020830000000103
batch1,165.232822,113,1,1,3,7.597,38.0,188.490632,192.235465,-3.744833
batch1,171.90889599999997,114,1,1,4,8.749,38.0,188.053608,192.235465,-4.181857000000008
batch1,176.91595099999998,115,1,1,5,9.867,38.0,187.589634,192.235465,-4.645831000000015
batch1,183.592025,116,1,1,6,11.045,38.0,187.219618,192.235465,-5.015847000000008
batch1,191.937117,117,1,1,7,11.58,38.0,187.040766,192.235465,-5.194699000000014
batch1,196.94417199999995,118,1,1,8,12.082,38.0,186.883519,192.235465,-5.351945999999998
batch1,201.951227,119,1,1,9,12.592,38.0,186.711641,192.235465,-5.523824000000019
batch1,208.627301,1110,1,1,10,13.175,38.0,186.46408,192.235465,-5.771385000000009
batch1,645.910124,220,2,2,0,4.0,68.0,188.675262,190.599309,-1.9240470000000016
batch1,649.248161,221,2,2,1,5.159,68.0,188.128817,190.599309,-2.4704920000000072
batch1,655.9242339999998,222,2,2,2,6.386,68.0,187.468881,190.599309,-3.130427999999995
batch1,660.2622709999999,223,2,2,3,7.597,68.0,186.938126,190.599309,-3.661182999999994
batch1,663.600308,224,2,2,4,8.749,68.0,186.406041,190.599309,-4.1932680000000175
batch1,667.6073629999999,225,2,2,5,9.867,68.0,185.87,190.599309,-4.729309000000001
batch1,670.9453999999998,226,2,2,6,11.045,68.0,185.398115,190.599309,-5.201194000000015
batch1,675.283437,227,2,2,7,11.58,68.0,185.187929,190.599309,-5.411380000000008
batch1,678.621474,228,2,2,8,12.082,68.0,185.016273,190.599309,-5.583035999999993
batch1,682.628529,229,2,2,9,12.592,68.0,184.822552,190.599309,-5.7767570000000035
batch1,685.9665659999998,2210,2,2,10,13.175,68.0,184.649248,190.599309,-5.950061000000005
batch1,1169.981904,330,3,3,0,4.0,98.0,189.16622,190.710783,-1.5445629999999824
batch1,1174.9889589999998,331,3,3,1,5.159,98.0,188.803224,190.710783,-1.907558999999992
batch1,1178.326996,332,3,3,2,6.386,98.0,188.391137,190.710783,-2.319646000000006
batch1,1183.3340509999998,333,3,3,3,7.597,98.0,187.977113,190.710783,-2.7336699999999894
batch1,1186.6720879999998,334,3,3,4,8.749,98.0,187.565687,190.710783,-3.1450959999999952
batch1,1190.0101249999998,335,3,3,5,9.867,98.0,187.148054,190.710783,-3.5627289999999903
batch1,1195.0171799999998,336,3,3,6,11.045,98.0,186.814651,190.710783,-3.8961319999999944
batch1,1201.6932539999998,337,3,3,7,11.58,98.0,186.646247,190.710783,-4.064536000000004
batch1,1210.038346,338,3,3,8,12.082,98.0,186.482,190.710783,-4.228782999999993
batch1,1215.045401,339,3,3,9,12.592,98.0,186.341832,190.710783,-4.368950999999981
batch1,1221.7214749999998,3310,3,3,10,13.175,98.0,186.23385,190.710783,-4.4769330000000025
batch2,19.581713,10,1,1,0,4.0,53.0,186.768008,188.863851,-2.095843000000002
batch2,26.755794,11,1,1,1,5.159,53.0,186.301698,188.863851,-2.5621530000000234
batch2,31.871738,12,1,1,2,6.386,53.0,185.796554,188.863851,-3.067297000000025
batch2,37.046485,13,1,1,3,7.597,53.0,185.181788,188.863851,-3.6820629999999994
batch2,42.868075000000005,14,1,1,4,8.749,53.0,184.599136,188.863851,-4.264715000000024
batch2,48.101626,15,1,1,5,9.867,53.0,184.143721,188.863851,-4.720130000000012
batch2,53.570393,16,1,1,6,11.045,53.0,183.695385,188.863851,-5.1684660000000235
batch2,59.391983,17,1,1,7,11.58,53.0,183.480306,188.863851,-5.383544999999998
batch2,65.15476999999998,18,1,1,8,12.082,53.0,183.300348,188.863851,-5.563502999999997
batch2,71.917223,19,1,1,9,12.592,53.0,183.089796,188.863851,-5.774055000000004
batch2,77.915226,110,1,1,10,13.175,53.0,182.867237,188.863851,-5.996614000000022
batch2,127.78097,20,2,2,0,4.0,83.0,186.064396,188.452511,-2.388114999999999
batch2,138.13046400000002,21,2,2,1,5.159,83.0,185.559941,188.452511,-2.892569999999978
batch2,143.893251,22,2,2,2,6.386,83.0,185.017075,188.452511,-3.4354359999999815
batch2,151.008528,23,2,2,3,7.597,83.0,184.594257,188.452511,-3.858253999999988
batch2,158.065001,24,2,2,4,8.749,83.0,184.202515,188.452511,-4.249995999999982
batch2,162.82812099999998,25,2,2,5,9.867,83.0,183.825596,188.452511,-4.626914999999997
batch2,167.650044,26,2,2,6,11.045,83.0,183.467794,188.452511,-4.984716999999989
batch2,172.94239899999997,27,2,2,7,11.58,83.0,183.256666,188.452511,-5.195844999999991
batch2,178.117146,28,2,2,8,12.082,83.0,183.123708,188.452511,-5.3288029999999935
batch2,182.703854,29,2,2,9,12.592,83.0,182.966091,188.452511,-5.486419999999981
batch2,189.995543,210,2,2,10,13.175,83.0,182.761182,188.452511,-5.691328999999996
batch2,233.510461,30,3,3,0,4.0,113.0,186.759,188.461209,-1.7022090000000105
batch2,242.448661,31,3,3,1,5.159,113.0,186.474087,188.461209,-1.9871219999999994
batch2,247.329388,32,3,3,2,6.386,113.0,186.180505,188.461209,-2.280703999999986
batch2,253.268586,33,3,3,3,7.597,113.0,185.85694,188.461209,-2.604268999999988
batch2,260.148648,34,3,3,4,8.749,113.0,185.577467,188.461209,-2.883741999999984
batch2,265.029375,35,3,3,5,9.867,113.0,185.380505,188.461209,-3.0807039999999972
batch2,270.02771,36,3,3,6,11.045,113.0,185.118564,188.461209,-3.3426450000000045
batch2,275.496477,37,3,3,7,11.58,113.0,185.014263,188.461209,-3.446945999999997
batch2,280.730028,38,3,3,8,12.082,113.0,184.9152,188.461209,-3.546008999999998
batch2,285.845971,39,3,3,9,12.592,113.0,184.840315,188.461209,-3.6208939999999927
batch2,291.079522,310,3,3,10,13.175,113.0,184.704614,188.461209,-3.7565950000000043
batch3,22.288563000000003,10,1,1,0,4.0,45.5,186.905511,189.25006,-2.3445490000000007
batch3,29.17446,11,1,1,1,5.159,45.5,186.579819,189.25006,-2.6702410000000043
batch3,32.79861699999999,12,1,1,2,6.386,45.5,186.242219,189.25006,-3.007840999999985
batch3,38.506663,13,1,1,3,7.597,45.5,185.707615,189.25006,-3.5424449999999865
batch3,42.312028,14,1,1,4,8.749,45.5,185.239211,189.25006,-4.010848999999979
batch3,46.661015947,15,1,1,5,9.867,45.5,184.832478,189.25006,-4.417581999999982
batch3,51.10060699999999,16,1,1,6,11.045,45.5,184.367305,189.25006,-4.882755000000003
batch3,54.63416,17,1,1,7,11.58,45.5,184.189795,189.25006,-5.060264999999987
batch3,59.16435599999999,18,1,1,8,12.082,45.5,184.019102,189.25006,-5.230957999999987
batch3,64.963006,19,1,1,9,12.592,45.5,183.836516,189.25006,-5.413544000000002
batch3,71.395884,110,1,1,10,13.175,45.5,183.647053,189.25006,-5.603006999999991
batch3,103.379065,20,2,2,0,4.0,60.5,185.43838,186.67708,-1.2386999999999944
batch3,111.895833,21,2,2,1,5.159,60.5,184.92464,186.67708,-1.7524399999999787
batch3,117.694484,22,2,2,2,6.386,60.5,184.414894,186.67708,-2.2621859999999856
batch3,122.858907,23,2,2,3,7.597,60.5,183.85557,186.67708,-2.8215099999999893
batch3,128.566953,24,2,2,4,8.749,60.5,183.359356,186.67708,-3.3177239999999983
batch3,132.372318,25,2,2,5,9.867,60.5,182.891273,186.67708,-3.785806999999977
batch3,137.17432499999998,26,2,2,6,11.045,60.5,182.394183,186.67708,-4.282896999999991
batch3,141.160897,27,2,2,7,11.58,60.5,182.199839,186.67708,-4.477240999999992
batch3,144.150827,28,2,2,8,12.082,60.5,182.066687,186.67708,-4.610392999999988
batch3,148.86223,29,2,2,9,12.592,60.5,181.865632,186.67708,-4.811447999999984
batch3,153.48303,210,2,2,10,13.175,60.5,181.649426,186.67708,-5.027653999999984
batch3,196.701096,30,3,3,0,4.0,75.5,185.602932,187.543724,-1.9407919999999876
batch3,202.499747,31,3,3,1,5.159,75.5,185.01409,187.543724,-2.5296339999999873
batch3,207.754774,32,3,3,2,6.386,75.5,184.462072,187.543724,-3.081651999999991
batch3,211.741346,33,3,3,3,7.597,75.5,184.003399,187.543724,-3.5403249999999957
batch3,217.177581,34,3,3,4,8.749,75.5,183.612916,187.543724,-3.9308079999999848
batch3,222.523212,35,3,3,5,9.867,75.5,183.175998,187.543724,-4.367726000000005
batch3,227.053407,36,3,3,6,11.045,75.5,182.803739,187.543724,-4.73998499999999
batch3,231.674207,37,3,3,7,11.58,75.5,182.63,187.543724,-4.913724000000002
batch3,236.023195,38,3,3,8,12.082,75.5,182.438889,187.543724,-5.1048350000000084
batch3,239.37554,39,3,3,9,12.592,75.5,182.27333,187.543724,-5.27039400000001
batch3,244.449359,310,3,3,10,13.175,75.5,182.111239,187.543724,-5.432484999999986
batch3,292.016414,40,4,4,0,4.0,90.5,185.937368,187.42534,-1.4879720000000134
batch3,297.905668,41,4,4,1,5.159,90.5,185.465199,187.42534,-1.960140999999993
batch3,304.157338,42,4,4,2,6.386,90.5,184.962671,187.42534,-2.4626690000000053
batch3,313.03652099999994,43,4,4,3,7.597,90.5,184.521,187.42534,-2.904340000000019
batch3,322.006309,44,4,4,4,8.749,90.5,184.136673,187.42534,-3.288667000000004
batch3,327.80495899999994,45,4,4,5,9.867,90.5,183.791216,187.42534,-3.634124000000014
batch3,333.33179799999994,46,4,4,6,11.045,90.5,183.478936,187.42534,-3.946404000000001
batch3,337.31837,47,4,4,7,11.58,90.5,183.294409,187.42534,-4.130931000000004
batch3,341.93917000000005,48,4,4,8,12.082,90.5,183.141317,187.42534,-4.284023000000019
batch3,347.466009,49,4,4,9,12.592,90.5,182.982,187.42534,-4.443340000000006
batch3,351.090165,410,4,4,10,13.175,90.5,182.787732,187.42534,-4.637608
batch3,395.21427100000005,50,5,5,0,4.0,105.5,185.864,186.848217,-0.984217000000001
batch3,404.999494,51,5,5,1,5.159,105.5,185.541032,186.848217,-1.307185000000004
batch3,410.888748,52,5,5,2,6.386,105.5,185.181727,186.848217,-1.6664900000000102
batch3,416.506191,53,5,5,3,7.597,105.5,184.79041,186.848217,-2.057806999999997
batch3,420.673971,54,5,5,4,8.749,105.5,184.484596,186.848217,-2.363620999999995
batch3,425.657186,55,5,5,5,9.867,105.5,184.216478,186.848217,-2.6317390000000103
batch3,430.821609,56,5,5,6,11.045,105.5,183.931341,186.848217,-2.916876000000002
batch3,435.079993,57,5,5,7,11.58,105.5,183.8001,186.848217,-3.048117000000019
batch3,439.247773,58,5,5,8,12.082,105.5,183.686121,186.848217,-3.162095999999991
batch3,443.324949,59,5,5,9,12.592,105.5,183.599613,186.848217,-3.2486040000000003
batch3,449.939035,510,5,5,10,13.175,105.5,183.454379,186.848217,-3.3938380000000166
