model,sensor_code,load_code,sensor_cm,load_cm,k_disp_vs_mass,c_disp_vs_mass,r2,n,k_surface_pred,c_surface_pred
s1_l1,1,1,38.0,38.0,-0.38282328479310035,-0.7709659953665324,0.9961421985442243,11,-0.3896359059406158,-0.732208912929897
s1_l2,1,2,38.0,68.0,-0.28126464979726845,-0.6942227565387047,0.9971698958650499,11,-0.28250136337684184,-0.7123487857406026
s1_l3,1,3,38.0,98.0,-0.17810849548765903,-0.578678753573244,0.9960421593443318,11,-0.17409382412222474,-0.5871857505648039
s1_l4,1,4,38.0,128.0,-0.1383893583237043,-0.38945928362283133,0.9717913497319891,11,-0.13682109881873133,-0.35671980740250064
s1_l5,1,5,38.0,158.0,-0.12338765408410837,0.02390542293876899,0.9967227624424707,11,-0.12208043108133856,-0.020950956253693587
s2_l1,2,1,68.0,38.0,-0.2795697655078333,-0.22612097569120804,0.997414760306116,11,-0.2792383104595294,-0.2232445807650808
s2_l2,2,2,68.0,68.0,-0.4430592230269504,-0.2487567737735334,0.9968822206371268,11,-0.4295475300777511,-0.2646600737554057
s2_l3,2,3,68.0,98.0,-0.30108033655503447,-0.1266517303005261,0.9981725520548035,11,-0.29762955268507096,-0.20077265875922623
s2_l4,2,4,68.0,128.0,-0.18519029032038783,0.01668970545761588,0.9978148531285792,11,-0.19661171391714624,-0.031582335776542236
s2_l5,2,5,68.0,158.0,-0.12783855535436028,0.1074990173624415,0.9980845367044711,11,-0.13241510083825703,0.24291089519264553
s3_l1,3,1,98.0,38.0,-0.20456753121471621,-0.017108195350644034,0.9978414885199783,11,-0.2111589653784836,-0.1196118254859323
s3_l2,3,2,98.0,68.0,-0.25406723755420496,-0.39873801548712645,0.9946300334080432,11,-0.241673902626698,-0.2223029386558768
s3_l3,3,3,98.0,98.0,-0.3287112564434429,-0.2403444392067172,0.9982631502163355,11,-0.3352621138152664,-0.21969114383931565
s3_l4,3,4,98.0,128.0,-0.16322211391255786,-0.06753180459011794,0.9956565076083833,11,-0.17856070159368015,-0.11177644103625184
s3_l5,3,5,98.0,158.0,-0.1005704330066605,0.15177850064882048,0.9980326542196689,11,-0.08493256331244786,0.10144116975331774
