model,sensor_code,load_code,sensor_cm,load_cm,k_disp_vs_mass,c_disp_vs_mass,r2,n,k_surface_pred,c_surface_pred
s1_l1,1,1,38.0,38.0,0.14521135684345385,-0.529387675710916,0.16638573194494455,11,0.5103613550301782,-3.6710753043205973
s1_l2,1,2,38.0,68.0,-0.8548511427348701,2.39325527491555,0.7508608728305938,11,-0.6898506440678194,-8.151226204300798
s1_l3,1,3,38.0,98.0,0.5561016024074633,-15.788757819756354,0.28397507383636,11,0.3800962228471576,-9.364047022921845
s1_l4,1,4,38.0,128.0,0.4925066886140844,-18.86573279912683,0.1612106027049105,11,0.09837588465952685,-7.309537760183737
s1_l5,1,5,38.0,158.0,-0.46667596630732083,2.3067737625027145,0.00974641065573123,11,-0.4541217030450193,-1.9876984160864595
s2_l1,2,1,68.0,38.0,0.5293008325976009,4.924461207443839,0.31250405324886854,11,0.36348114610890203,15.593866387278014
s2_l2,2,2,68.0,68.0,0.8054183743036966,7.063163250744063,0.22756232483965266,11,0.08656848901718694,10.465715324307006
s2_l3,2,3,68.0,98.0,-0.5321538317046647,12.143147865711947,0.08860783646022363,11,-0.8005511987538316,8.604894342695175
s2_l4,2,4,68.0,128.0,-1.445556496804516,16.22978807102903,0.8776068609077382,11,-0.6353147148407947,10.011403442442457
s2_l5,2,5,68.0,158.0,-1.1293063901195852,19.00085753406414,0.7909400010808707,11,-0.7558185920184854,14.685242623548916
s3_l1,3,1,98.0,38.0,-1.1127293469463517,2.484204781547221,0.8996090260087144,11,-0.7573459030984924,-1.8090297405560634
s3_l2,3,2,98.0,68.0,0.5794532201026832,-6.979590599776131,0.3302572555431128,11,0.027182697761712227,-7.5851809665178855
s3_l3,3,3,98.0,98.0,0.2950211866883938,-11.044007996138893,0.08530364782816036,11,0.6462647759770532,-10.09400211112056
s3_l4,3,4,98.0,128.0,-0.7584602799844197,-6.629759605148435,0.25142359806243453,11,0.07223739953301322,-9.335493174364032
s3_l5,3,5,98.0,158.0,0.32845628693560514,-11.96430937509097,0.03401547152676432,11,-0.6672364995558908,-5.309654156248406
