time,WSGD00004.chdata,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ
="2026/04/02 10:41:58.000",866.34326,,,,-0.00305,-0.00063,-0.00578,,,,19.31685,,,,0.00725,-0.00882,-0.00024,,,
="2026/04/02 10:41:58.020",866.59668,,,,-0.00218,-0.00297,-0.00025,,,,18.96385,,,,-0.00122,-0.00233,0.00627,,,
="2026/04/02 10:41:58.040",866.93195,,,,0.00048,0.00034,-0.00023,0.00074,0.00373,0.00538,17.79112,0.00291,-0.00139,-0.00311,0.0025,-0.00012,-0.00041,-0.00576,0.00348,-0.00462
="2026/04/02 10:41:58.060",866.73303,,,,-0.00561,0.00035,-0.00614,-0.00263,0.00061,0.00027,17.72611,0.00875,-0.00163,-0.00477,-0.01379,0.00229,-0.0076,-0.00901,-0.00222,-0.0102
="2026/04/02 10:41:58.080",866.51489,,,,0.00426,0.00153,-0.00819,0.00329,0.00569,0.00969,18.7173,-0.00153,0.00257,0.00119,-0.0018,0.00289,0.00139,-0.01395,0.00458,-0.00095
="2026/04/02 10:41:58.100",866.3277,,,,-0.00207,-0.00311,-0.00306,0.00164,0.00498,0.00388,19.23907,-0.00128,-0.00032,0.0036,-0.00164,0.00049,0.00029,-0.00694,-0.0003,0.01055
="2026/04/02 10:41:58.120",866.23682,,,,-0.00346,-0.00299,-0.00289,-0.00624,-0.00419,0.00626,18.46417,-0.00023,-0.00166,0.00864,-0.00376,0.00351,0.00284,0.00316,-0.00157,-0.00619
="2026/04/02 10:41:58.140",866.12946,,,,0.00065,-0.00298,0.00052,-0.00602,-0.00649,-0.0086,18.58271,0.00496,0.00539,-0.00281,0.00146,-0.00808,-0.01386,0.00106,-0.00154,-0.00213
="2026/04/02 10:41:58.160",865.92285,,,,0.0032,-0.00177,-0.00798,-0.00492,-0.00139,-0.009,19.01145,-0.01003,-0.00158,-0.00417,-0.00404,0.00113,0.01579,0.00932,0.00508,-0.00433
="2026/04/02 10:41:58.180",865.698,,,,0.00497,0.00088,0.0044,0.00123,0.00155,-0.00024,18.87816,-0.00694,-0.00599,0.01568,0.00136,0.0043,-0.00832,0.00486,-0.00222,-0.00138
="2026/04/02 10:41:58.200",865.8382,,,,0.00496,-0.00546,0.00691,-0.00148,-0.00297,0.00307,18.1263,-0.00523,-0.00568,-0.00841,0.00727,0.00143,0.00312,0.01053,-0.00148,-0.00177
="2026/04/02 10:41:58.220",865.92981,,,,0.00242,-0.00468,-0.00282,0.01487,-0.00065,-0.00577,17.64582,-0.00737,-0.00368,0.00138,0.0063,0.00054,-0.00576,0.01485,0.00606,0.00013
="2026/04/02 10:41:58.240",865.96497,,,,-0.00118,0.00255,0.00765,-0.0006,0.00263,-0.01109,18.0201,0.00293,0.00126,0.00518,0.0051,-0.00199,0.01375,0.00046,-0.00227,0.00137
="2026/04/02 10:41:58.260",865.70966,,,,-0.0015,0.0034,0.00401,-0.01346,-0.00058,0.001,17.93629,0.00629,0.00379,-0.01784,0.00709,0.00091,-0.01439,0.00062,0.00662,0.00121
="2026/04/02 10:41:58.280",866.03827,,,,0.00679,0.0075,-0.00007,0.00382,0.00095,-0.00417,17.07024,0.00716,-0.00561,0.00402,0.01144,0.0015,0.00288,-0.00078,0.00516,0.00759
="2026/04/02 10:41:58.300",866.73193,,,,-0.00508,-0.0011,-0.0076,-0.00095,0.00044,-0.00707,17.22127,0.00506,-0.00018,-0.00819,0.00033,-0.00462,-0.02217,-0.0046,0.00073,0.00724
="2026/04/02 10:41:58.320",866.65192,,,,-0.00153,-0.00814,-0.01014,0.00918,0.00685,-0.00565,18.16346,0.00297,-0.00181,-0.00254,0.00466,0.00864,0.02464,-0.00606,-0.00131,0.00083
