time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00003.chdata,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 17:12:52.040",0.0168,0.01138,-0.00892,,,,,,,,,,,,,,,,,
="2026/04/02 17:12:52.060",0.02299,0.01293,0.00938,,,,,,,,,,,,,,,,,
="2026/04/02 17:12:52.080",-0.00126,0.00361,0.01732,,,,,,,,,,,,,,,,,
="2026/04/02 17:12:52.100",-0.01782,0.00904,0.00867,,,,,,,,,,,,,,,,,
="2026/04/02 17:12:52.120",-0.00993,0.01464,0.02329,,,,,,,,,,,,,,,,,
="2026/04/02 17:12:52.140",-0.02329,0.01594,0.03339,,,,,,,,,,,,,,,,,
="2026/04/02 17:12:52.160",-0.03419,0.00994,0.01818,,,,,,,,,,,,,,,,,
="2026/04/02 17:12:52.180",-0.00968,0.00774,0.00514,,,,,,,,,,,,,,,,,
="2026/04/02 17:12:52.200",-0.017,0.01433,0.01975,,,,,,,,,,,,,,,,,
="2026/04/02 17:12:52.220",0.01858,0.01433,0.03108,,,,,,,,,,,,,,,,,
="2026/04/02 17:12:52.240",0.01426,0.01438,-0.01667,,,,,,,,,,,,,,,,,
="2026/04/02 17:12:52.260",0.02494,0.01395,0.00036,,,,,,,,,,,,,,,,,
="2026/04/02 17:12:52.280",0.03057,0.01178,0.03849,,,,,,,,,,,,,,,,,
="2026/04/02 17:12:52.300",0.03857,0.01,0.0497,,,,,,,,,,,,,,,,,
="2026/04/02 17:12:52.320",0.0271,0.01562,0.01695,,,,,,,,,,,,,,,,,
="2026/04/02 17:12:52.340",0.01847,0.02786,0.01575,,,,,,,,,,,,,,,,,
="2026/04/02 17:12:52.360",0.00445,0.00864,0.00865,,,,,,,-0.01656,0.00799,-0.02159,,,,,,,,
