time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00004.chdata
="2026/04/02 16:03:44.040",-0.14382,-0.05713,0.04961,,,,,,,,,,,,,,,,,
="2026/04/02 16:03:44.060",0.21086,-0.00097,0.04773,,,,,,,,,,,,,,,,,
="2026/04/02 16:03:44.080",-0.4503,0.11349,-0.00494,,,,,,,,,,,,,,,,,
="2026/04/02 16:03:44.100",0.13762,0.14447,0.0431,,,,,,,,,,,,,,,,,
="2026/04/02 16:03:44.120",-0.27356,0.09111,-0.00307,,,,,,,,,,,,,,,,,
="2026/04/02 16:03:44.140",-0.56471,0.05136,0.45979,,,,,,,,,,,,,,,,,
="2026/04/02 16:03:44.160",0.20896,-0.00778,0.02252,,,,,,,,,,,,,,,,,
="2026/04/02 16:03:44.180",-0.70181,0.02474,0.30782,,,,,,,,,,,,,,,,,
="2026/04/02 16:03:44.200",0.06306,-0.03292,0.42833,,,,,,,,,,,,,,,,,
="2026/04/02 16:03:44.220",-0.10076,-0.03988,-0.07857,,,,,,,,,,,,,,,,,
="2026/04/02 16:03:44.240",-0.32924,-0.05269,0.47814,,,,,,,,,,,,,,,,,
="2026/04/02 16:03:44.260",0.44919,0.01926,-0.02231,,,,,,,,,,,,,,,,,
="2026/04/02 16:03:44.280",-0.3328,-0.04385,-0.07621,,,,,,,,,,,,,,,,,
="2026/04/02 16:03:44.300",0.42784,-0.02513,0.04172,,,,,,,,,,,,,,,,,
="2026/04/02 16:03:44.320",0.08043,-0.02379,-0.34141,,,,,,,,,,,,,,,,,
="2026/04/02 16:03:44.340",-0.14296,0.05818,0.04953,,,,,,,,,,,,,,,,,
="2026/04/02 16:03:44.360",0.38908,0.16598,-0.23575,,,,,,,,,,,,,,-0.05124,0.03204,-0.42316,
="2026/04/02 16:03:44.380",-0.37824,-0.00753,-0.21382,,,,,,,,,,,,,,-0.11298,-0.09033,-0.1588,
="2026/04/02 16:03:44.400",0.3175,-0.06098,0.0753,,,,,,,,,,,,,,-0.17201,0.09618,-0.14677,
="2026/04/02 16:03:44.420",-0.1221,-0.06466,-0.19826,,,,,,,,,,,,,,-0.25051,-0.10119,-0.07635,
="2026/04/02 16:03:44.440",-0.23557,-0.03559,0.13073,,,,,,,,,,,,,,-0.09507,-0.10729,0.21651,
="2026/04/02 16:03:44.460",0.16966,0.09987,0.1865,,,,,,,,,,,,,,-0.17078,-0.19843,0.07173,
="2026/04/02 16:03:44.480",-0.37572,0.07127,-0.08574,,,,,,,,,,,,,,-0.03945,-0.30409,0.61906,
="2026/04/02 16:03:44.500",0.23492,0.01367,0.33041,,,,,,,,,,,,,,0.22243,-0.0642,0.62612,
="2026/04/02 16:03:44.520",-0.02047,-0.11367,-0.15357,,,,,,,,,,,,,,0.13894,-0.04464,0.38335,
