time,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSGD00003.chdata,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00004.chdata,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ
="2026/04/02 17:15:46.360",0.0001,0.00252,-0.07187,20.98059,-0.01137,0.01123,0.01155,-0.02502,-0.02135,-0.05185,859.03259,0.01653,-0.00261,-0.00736,,,,,,
="2026/04/02 17:15:46.380",0.00677,-0.00169,-0.02805,21.18773,-0.03968,-0.01488,-0.09644,0.02569,0.00425,-0.00483,859.58813,0.01257,0.00135,0.02862,,,,,,
="2026/04/02 17:15:46.400",0.0422,0.00464,0.01733,20.46479,-0.04064,0.01601,0.04902,-0.01002,0.00614,-0.01275,861.07733,-0.02051,-0.01753,-0.06256,,,,,,
="2026/04/02 17:15:46.420",0.01809,-0.01989,-0.01832,19.88591,-0.01029,0.01397,0.03327,0.0311,0.01298,-0.03071,862.07043,-0.00204,0.01474,-0.06729,,,,,,
="2026/04/02 17:15:46.440",0.01523,-0.01839,0.00078,19.2893,0.0229,-0.02724,-0.00868,-0.03529,-0.01105,-0.02658,862.474,-0.03468,0.02055,-0.00926,,,,,,
="2026/04/02 17:15:46.460",-0.02229,0.00617,-0.00031,18.65206,-0.04299,0.00244,-0.02832,-0.00444,-0.00893,-0.0396,862.52423,-0.02524,0.02102,0.05753,,,,,,
="2026/04/02 17:15:46.480",-0.02353,0.01076,-0.00312,17.71023,-0.01072,0.00968,0.08385,0.05563,-0.00645,-0.0535,862.49994,-0.01494,0.03701,-0.03502,,,,,,
="2026/04/02 17:15:46.500",-0.00937,0.00456,0.03882,17.10922,0.00139,0.02492,0.08514,-0.02463,-0.00008,0.01691,861.91333,0.02119,-0.00734,0.02627,,,,,,
="2026/04/02 17:15:46.520",-0.0187,-0.00038,-0.02835,17.36116,0.01426,-0.01973,-0.04095,0.00679,0.00327,-0.01453,860.78656,-0.00881,0.00625,-0.02384,,,,,,
="2026/04/02 17:15:46.540",-0.01668,0.00485,-0.0121,18.15467,0.00817,0.00219,-0.05582,0.04921,-0.01992,-0.02032,860.12274,0.01822,-0.01052,0.00226,,,,,,
="2026/04/02 17:15:46.560",-0.03454,0.00854,-0.0119,17.9337,-0.00718,0.00708,0.03024,0.03268,-0.00628,0.04995,860.0481,-0.03692,0.01911,-0.0631,,,,,,
="2026/04/02 17:15:46.580",-0.01324,-0.01414,-0.01167,17.62948,0.0322,-0.00006,0.02239,0.0022,-0.00858,0.07987,859.46692,-0.00204,0.01347,0.00888,,,,,,
="2026/04/02 17:15:46.600",-0.01041,0.0009,0.02236,18.02235,0.07374,-0.01102,-0.04225,0.02258,0.02082,0.09689,859.00684,0.0395,-0.00641,0.03479,,,,,,
="2026/04/02 17:15:46.620",0.01533,0.00637,-0.00122,18.52997,0.02755,-0.01048,0.02451,0.02604,0.02481,0.00192,859.15533,-0.0375,-0.00001,-0.04322,,,,,,
="2026/04/02 17:15:46.640",0.01729,-0.00419,-0.01417,20.15977,0.01681,0.00385,0.03613,0.00026,-0.01366,0.03544,859.10596,-0.00388,0.00081,-0.01173,,,,,,
="2026/04/02 17:15:46.660",0.00499,-0.01289,0.0124,20.91748,-0.02488,0.0031,0.02481,0.04435,0.03426,-0.02735,859.78247,0.03203,0.01523,0.03189,,,,,,
="2026/04/02 17:15:46.680",0.0488,-0.01097,-0.0148,20.839,-0.02357,0.00996,0.01695,0.01025,-0.00692,-0.05834,860.61328,-0.00712,-0.00664,0.01566,,,,,,
="2026/04/02 17:15:46.700",0.03446,0.00251,0.00331,20.4477,-0.00715,0.00583,0.02332,-0.0282,-0.03174,-0.06116,860.76874,-0.02386,-0.00962,0.00486,,,,,,
="2026/04/02 17:15:46.720",0.02442,-0.00591,0.01173,20.02855,-0.0243,-0.00282,0.08362,0.04242,-0.00159,-0.02596,861.16248,0.00037,-0.02636,-0.01191,,,,,,
="2026/04/02 17:15:46.740",-0.0036,0.01829,0.05206,19.59995,-0.03667,0.0061,0.07507,-0.00952,-0.02003,-0.00124,861.92346,-0.04265,-0.00002,0.04018,,,,,,
="2026/04/02 17:15:46.760",-0.004,-0.00169,0.06245,18.83143,-0.01556,0.00318,0.02272,0.00402,0.02383,0.05065,862.31415,-0.00673,-0.02759,0.0639,,,,,,
="2026/04/02 17:15:46.780",-0.01498,0.02047,0.0255,17.93328,0.01568,0.01085,0.09898,-0.02865,-0.00838,0.01114,861.78711,-0.02169,-0.01988,-0.04461,,,,,,
="2026/04/02 17:15:46.800",-0.02056,0.00518,0.01519,17.61436,-0.04354,0.00445,-0.02853,0.04757,-0.03374,-0.0725,861.24963,-0.03332,0.05849,0.04592,,,,,,
="2026/04/02 17:15:46.820",-0.02014,0.01359,0.01477,17.12029,0.00086,0.00376,0.01881,0.01416,0.00529,0.0683,861.18622,0.01599,0.03296,0.0076,,,,,,
="2026/04/02 17:15:46.840",0.00147,0.00851,0.02819,17.10821,0.03002,-0.01045,-0.10578,-0.00784,-0.00578,0.01305,860.65796,0.03037,0.03478,-0.01371,,,,,,
="2026/04/02 17:15:46.860",-0.04487,0.00693,0.01486,17.73195,0.03563,-0.00107,0.04967,-0.00819,-0.00549,0.0325,860.21661,0.01641,0.01837,-0.03686,,,,,,
="2026/04/02 17:15:46.880",0.01629,0.00642,-0.04134,18.41741,0.06443,-0.00228,-0.01585,0.03985,0.00997,0.03181,859.53217,0.01332,0.00159,0.03176,,,,,,
="2026/04/02 17:15:46.900",0.03616,-0.01228,-0.02876,19.43078,0.02135,0.00546,0.05676,-0.01493,0.01829,-0.03079,858.74005,-0.01106,0.01208,0.03492,,,,,,
="2026/04/02 17:15:46.920",0.00752,0.0003,0.04032,19.74271,-0.02287,-0.00825,0.03397,-0.01237,-0.00405,0.03242,858.49725,-0.01246,0.011,0.00988,,,,,,
="2026/04/02 17:15:46.940",0.00509,-0.00261,0.02941,20.14758,0.0076,-0.01585,-0.01938,0.00682,-0.0205,0.04028,858.8479,0.02208,0.02695,0.00362,,,,,,
="2026/04/02 17:15:46.960",0.00964,0.0088,0.04856,20.47417,-0.0229,-0.00955,0.02371,-0.00194,0.02357,0.05718,859.64386,0.01577,-0.00254,-0.02623,,,,,,
="2026/04/02 17:15:46.980",0.03529,-0.00452,0.01111,20.31664,-0.02586,-0.00327,-0.0305,0.02909,0.00293,-0.04055,860.47253,0.01312,-0.00575,-0.07067,,,,,,
="2026/04/02 17:15:47.000",0.02972,-0.00728,0.07438,20.32934,-0.04472,-0.01272,-0.02921,-0.01658,-0.03523,-0.01428,861.17682,-0.01416,-0.02849,0.04167,,,,,,
="2026/04/02 17:15:47.020",-0.00759,0.01892,0.04863,20.24818,-0.05437,0.00241,0.00519,0.02646,-0.00637,-0.06965,861.76971,0.0148,-0.01073,-0.00075,,,,,,
="2026/04/02 17:15:47.040",0.0114,-0.00199,0.04429,19.38954,-0.05135,-0.01687,-0.05067,-0.03353,0.01402,0.02869,862.0661,0.03055,0.02173,-0.02548,,,,0.01299,-0.01932,-0.00951
="2026/04/02 17:15:47.060",0.02319,0.01775,0.09877,18.71913,-0.04374,-0.01248,-0.0578,0.04399,-0.02503,-0.13341,862.2005,-0.00617,0.00613,0.00709,,,,-0.00382,0.01609,0.00527
="2026/04/02 17:15:47.080",-0.03328,0.04912,0.03823,18.39388,0.00627,-0.02353,-0.06116,0.03096,-0.04384,-0.14184,862.30029,0.01322,0.01138,0.01134,,,,-0.01156,0.00141,-0.00615
="2026/04/02 17:15:47.100",-0.02599,0.00682,0.05739,17.48758,0.02154,-0.00204,0.01642,-0.05613,0.01218,0.08431,861.73291,-0.00733,0.02597,-0.02392,,,,-0.01472,-0.00029,0.01777
="2026/04/02 17:15:47.120",-0.01093,-0.00338,0.06975,17.14203,0.02426,-0.0159,-0.03376,0.05823,0.0061,-0.03984,860.87524,0.05367,0.00129,0.03594,,,,-0.01568,0.00034,0.01159
="2026/04/02 17:15:47.140",-0.01328,0.01151,0.06327,17.53001,0.01044,-0.02668,-0.06906,-0.02086,0.00778,0.00522,859.88336,0.03226,0.00121,0.00558,,,,0.02799,0.013,0.00076
="2026/04/02 17:15:47.160",-0.04123,-0.00341,-0.02027,17.69839,0.03443,-0.01575,-0.06214,-0.03302,0.03175,0.11449,858.57465,0.03282,0.02025,-0.0424,,,,0.00677,0.02138,0.05512
="2026/04/02 17:15:47.180",-0.01419,0.01119,-0.05132,18.04691,0.00605,0.00949,-0.04481,0.06709,-0.01483,-0.0634,857.73083,0.02407,-0.00299,-0.03987,,,,0.02408,0.01847,0.0091
="2026/04/02 17:15:47.200",0.05976,-0.01357,0.05152,18.49114,0.01987,-0.01871,-0.02747,0.02122,-0.00077,-0.02725,858.32947,0.00467,-0.01246,-0.00827,,,,-0.0444,0.00297,0.00072
="2026/04/02 17:15:47.220",-0.00564,0.00193,-0.00742,19.02672,0.03468,-0.00231,0.03754,-0.03746,0.0163,0.00998,859.25281,-0.00773,-0.02157,-0.02236,,,,-0.05727,-0.01687,-0.00247
