time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ
="2026/04/02 17:18:56.040",0.00418,-0.00436,0.00674,,,,,,,,,,,,,,,,,
="2026/04/02 17:18:56.060",-0.00021,-0.00115,0.00764,,,,,,,,,,,,,,,,,
="2026/04/02 17:18:56.080",-0.014,0.00579,0.01098,,,,,,,,,,,,,,,,,
="2026/04/02 17:18:56.100",-0.00666,-0.00221,0.01188,,,,,,,,,,,,,,,,,
="2026/04/02 17:18:56.120",-0.01233,-0.00293,0.00602,,,,,,,,,,,,,,,,,
="2026/04/02 17:18:56.140",-0.00384,-0.00263,0.00895,,,,,,,,,,,,,,,,,
="2026/04/02 17:18:56.160",-0.00222,-0.00363,0.01221,,,,,,,,,,,,,,,,,
="2026/04/02 17:18:56.180",-0.00068,-0.00618,-0.00978,,,,,,,,,,,,,,,,,
="2026/04/02 17:18:56.200",0.00666,-0.01053,-0.00726,,,,,,,,,,,,,,,,,
="2026/04/02 17:18:56.220",0.01409,0.00397,-0.01332,,,,,,,,,,,,,,,,,
="2026/04/02 17:18:56.240",0.00983,0.00624,-0.00803,,,,,,,,,,,,,,,,,
="2026/04/02 17:18:56.260",0.01786,-0.00354,-0.00866,,,,,,,,,,,,,,,,,
="2026/04/02 17:18:56.280",0.00872,-0.00604,-0.00384,,,,,,,,,,,,,,,,,
="2026/04/02 17:18:56.300",0.01909,0.00006,-0.00757,,,,,,,,,,,,,,,,,
="2026/04/02 17:18:56.320",-0.00141,0.00378,-0.00596,,,,,,,,,,,,,,,,,
="2026/04/02 17:18:56.340",0.00493,0.00181,0.004,,,,,,,,,,,,,,,,,
="2026/04/02 17:18:56.360",-0.00078,0.00329,0.00711,,,,,,,,,,,,,,,-0.00743,-0.00451,0.02674
="2026/04/02 17:18:56.380",-0.01812,0.00251,0.00506,,,,,,,,,,,,,,,-0.00052,-0.00605,0.04098
="2026/04/02 17:18:56.400",-0.00736,-0.00632,0.00016,,,,,,,,,,,,,,,-0.02085,-0.00364,0.0193
="2026/04/02 17:18:56.420",-0.0148,-0.00114,0.00646,,,,,,,,,,,,,,,-0.01127,0.00056,0.01739
="2026/04/02 17:18:56.440",-0.00882,0.0063,0.01021,,,,,,,,,,,,,,,-0.01573,-0.00044,0.00735
="2026/04/02 17:18:56.460",0.00524,0.00094,0.00002,,,,,,,,,,,,,,,-0.01348,-0.00576,0.00944
="2026/04/02 17:18:56.480",-0.00938,0.00251,-0.00443,,,,,,,,,,,,,,,0.0028,-0.00012,-0.00409
="2026/04/02 17:18:56.500",0.00847,-0.00142,-0.01789,,,,,,,,,,,,,,,-0.01069,-0.00555,-0.0189
="2026/04/02 17:18:56.520",0.01337,-0.00338,-0.01879,,,,,,,,,,,,,,,-0.00605,-0.00148,-0.03715
="2026/04/02 17:18:56.540",0.00638,0.00528,0.00048,,,,,,,,,,,,,,,0.00711,-0.00705,-0.04723
="2026/04/02 17:18:56.560",-0.00197,0.00261,-0.00871,,,,,,,,,,,,,,,0.00698,0.01313,-0.01918
="2026/04/02 17:18:56.580",0.01076,-0.00161,-0.00225,,,,,,,,,,,,,,,0.02533,0.00515,-0.01123
="2026/04/02 17:18:56.600",0.00936,-0.00131,-0.00208,,,,,,,,,,,,,,,0.01967,-0.0019,-0.00025
="2026/04/02 17:18:56.620",0.00349,0.00294,-0.01096,,,,,,,,,,,,,,,0.02202,0.0005,0.00479
="2026/04/02 17:18:56.640",-0.00622,-0.00831,-0.00232,,,,,,,,,,,,,,,0.00517,-0.00968,0.01957
="2026/04/02 17:18:56.660",0.00389,-0.00238,0.01569,,,,,,,,,,,,,,,0.00431,-0.00564,0.03026
="2026/04/02 17:18:56.680",-0.00727,-0.00408,0.00181,,,,,,,,,,,,,,,-0.01339,-0.00197,0.02631
="2026/04/02 17:18:56.700",-0.00023,-0.00552,0.00652,,,,,,,,,,,,,,,-0.01302,0.0023,0.04339
="2026/04/02 17:18:56.720",-0.00493,-0.00031,0.00898,,,,,,,,,,,,,,,-0.02144,0.00467,0.03068
="2026/04/02 17:18:56.740",-0.00322,0.0047,0.00034,,,,,,,,,,,,,,,-0.00618,-0.00084,0.0213
="2026/04/02 17:18:56.760",0.00564,-0.00641,-0.02061,,,,,,,,,,,,,,,-0.00671,0.00194,0.00639
="2026/04/02 17:18:56.780",0.00161,-0.00274,-0.00397,,,,,,,,,,,,,,,-0.00739,-0.00616,-0.00913
="2026/04/02 17:18:56.800",0.00849,-0.00063,-0.01937,,,,,,,,,,,,,,,-0.00033,0.00175,-0.0331
="2026/04/02 17:18:56.820",0.0178,-0.00363,-0.02289,,,,,,,,,,,,,,,0.00814,0.0044,-0.03335
="2026/04/02 17:18:56.840",0.00591,-0.00434,-0.00452,,,,,,,,,,,,,,,0.0039,0.00291,-0.03525
="2026/04/02 17:18:56.860",0.01287,-0.00259,-0.0041,,,,,,,,,,,,,,,0.02143,0.00646,-0.02642
="2026/04/02 17:18:56.880",0.01061,0.00283,-0.00302,,,,,,,,,,,,,,,0.01932,-0.00208,-0.01544
="2026/04/02 17:18:56.900",0.01054,-0.00159,0.00048,,,,,,,,,,,,,,,0.02128,-0.00038,-0.0011
="2026/04/02 17:18:56.920",0.0014,-0.00544,0.00675,,,,,,,,,,,,,,,0.01694,0.00091,-0.00685
="2026/04/02 17:18:56.940",-0.00778,0.00001,0.00165,,,,,,,,,,,,,,,0.00302,-0.00827,0.00724
="2026/04/02 17:18:56.960",-0.00834,-0.00498,0.01042,,,,,,,,,,,,,,,-0.01252,-0.0017,0.01875
="2026/04/02 17:18:56.980",-0.01259,0.00183,0.01242,,,,,,,,,,,,,,,-0.00444,0.00019,0.03871
="2026/04/02 17:18:57.000",-0.01087,0.0006,0.00674,,,,,,,,,,,,,19.80327,861.38947,-0.01408,-0.0065,0.02507
="2026/04/02 17:18:57.020",-0.00034,0.00408,0.00445,,,,,,,,,,,,,18.97678,861.60492,-0.01967,-0.00459,0.01284
="2026/04/02 17:18:57.360",0.00101,0.00055,-0.0078,0.01662,-0.00769,0.00058,0.03306,0.00488,-0.00358,-0.0063,-0.00021,0.01203,0.00757,-0.00216,-0.01211,19.42992,861.9704,-0.0049,-0.00111,0.00173
="2026/04/02 17:18:57.380",-0.0004,-0.00026,-0.01048,0.00033,-0.00713,0.0353,-0.02053,0.00136,0.00368,-0.01067,-0.00109,-0.00132,0.00759,0.0019,0.01252,19.32984,861.94324,0.00527,0.00869,-0.01177
="2026/04/02 17:18:57.400",0.00283,-0.0011,-0.00029,0.00892,-0.00446,0.03063,-0.04713,-0.01419,-0.0012,-0.0234,0.00583,0.01155,-0.01287,-0.00827,-0.00812,19.29855,861.40234,0.00042,0.00196,-0.02225
="2026/04/02 17:18:57.420",0.01041,-0.0032,-0.00585,0.00574,-0.00298,0.03775,-0.02139,-0.01079,0.00081,-0.01401,-0.00268,-0.00349,-0.01251,-0.00018,-0.00748,18.97016,860.59058,0.00824,0.00848,-0.04147
