time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ
="2026/04/02 15:43:42.360",-0.06396,-0.00035,0.03852,,,,,,,,,,,,,,,,,
="2026/04/02 15:43:42.380",-0.02673,0.00108,0.01258,,,,,,,,,,,,,,,,,
="2026/04/02 15:43:42.400",0.04799,0.0248,-0.01014,,,,,,,,,,,,,,,,,
="2026/04/02 15:43:42.420",0.01547,0.00188,0.02874,,,,,,,,,,,,,,,,,
="2026/04/02 15:43:42.440",-0.00645,-0.00343,-0.00837,,,,,,,,,,,,,,,,,
="2026/04/02 15:43:42.460",0.01685,0.00983,-0.01298,,,,,,,,,,,,,,,,,
="2026/04/02 15:43:42.480",0.00249,-0.04062,-0.08211,,,,,,,,,,,,,,,,,
="2026/04/02 15:43:42.500",0.03953,-0.00422,-0.04762,,,,,,,,,,,,,,,,,
="2026/04/02 15:43:42.520",-0.02262,0.06756,0.13009,,,,,,,,,,,,,,,,,
="2026/04/02 15:43:42.540",0.00387,-0.00894,-0.02084,,,,,,,,,,,,,,,,,
="2026/04/02 15:43:42.560",0.02063,-0.00736,-0.01821,,,,,,,,,,,,,,,,,
="2026/04/02 15:43:42.580",0.00134,-0.00235,0.01686,,,,,,,,,,,,,,,,,
="2026/04/02 15:43:42.600",-0.01563,0.0027,-0.00333,,,,,,,,,,,,,,,,,
="2026/04/02 15:43:42.620",-0.04788,-0.00422,-0.0067,,,,,,,,,,,,,,,,,
="2026/04/02 15:43:42.640",-0.02477,-0.00644,-0.00019,,,,,,,,,,,,,,,,,
="2026/04/02 15:43:42.660",0.01262,-0.01316,0.00374,,,,,,,,,,,,,,,,,
="2026/04/02 15:43:42.680",-0.01836,-0.00314,0.00045,,,,,,,,,,,,,,,,,
="2026/04/02 15:43:42.700",-0.03205,0.00543,0.02516,,,,,,,,,,,,,,,,,
="2026/04/02 15:43:42.720",0.02147,0.00311,-0.00549,,,,,,,,,,,,,,,,,
