time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00003.chdata,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ
="2026/04/02 17:25:08.360",0.02695,-0.00142,-0.03155,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.380",0.00255,-0.00373,-0.03031,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.400",0.00769,-0.00079,-0.00558,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.420",-0.00373,-0.00017,-0.01034,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.440",-0.01109,-0.00671,0.01113,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.460",0.0055,-0.00418,0.02611,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.480",0.0015,-0.00338,0.01482,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.500",-0.01504,0.00046,0.01782,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.520",-0.0131,-0.00734,0.02012,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.540",0.01206,-0.00667,-0.00192,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.560",0.04094,-0.0021,-0.01101,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.580",0.01264,0.01286,0.00418,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.600",0.00339,0.00572,-0.02885,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.620",0.02449,0.00132,-0.02128,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.640",0.02466,0.00384,-0.02648,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.660",0.01522,-0.00509,-0.02903,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.680",0.02001,0.00018,-0.01723,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.700",0.03075,0.00407,0.00564,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.720",-0.00701,-0.00368,0.01806,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.740",-0.00794,-0.00285,0.01679,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.760",-0.01015,0.00894,0.02531,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.780",0.00264,-0.00635,0.01761,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.800",-0.00325,-0.00659,0.04679,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.820",-0.01645,-0.00314,0.03451,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.840",-0.00411,-0.00094,0.01934,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.860",0.01156,0.01114,-0.00705,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.880",0.0035,-0.00125,-0.00504,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.900",0.00553,0.00429,-0.01035,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.920",0.01712,0.00202,-0.01307,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.940",0.0127,0.00253,-0.02758,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.960",0.00309,-0.00209,-0.01903,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.980",0.0136,0.00305,-0.01299,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:09.000",0.00549,-0.00473,-0.01045,20.2469,,,,860.65466,,,,,,,,,,,,
="2026/04/02 17:25:09.020",-0.00363,-0.00551,-0.00053,20.19801,,,,860.78577,,,,,,,,,,,,
="2026/04/02 17:25:09.040",-0.02505,0.00094,0.01172,19.94386,,,,860.39319,-0.01183,0.00523,0.00881,0.00161,0.00264,-0.02315,,,,,,
="2026/04/02 17:25:09.060",-0.01848,0.00197,0.02032,19.17325,,,,860.9245,-0.01326,-0.00177,0.0064,-0.01844,0.00299,-0.00301,,,,,,
="2026/04/02 17:25:09.080",-0.02271,-0.01216,0.02334,18.5643,,,,861.7793,-0.00547,0.00638,0.0101,-0.00122,-0.00575,-0.0013,,,,,,
="2026/04/02 17:25:09.100",-0.01753,-0.00074,0.02327,19.12905,,,,861.27917,0.00449,-0.00068,0.01117,-0.02313,-0.00521,0.00823,,,,,,
="2026/04/02 17:25:09.120",0.0027,-0.00822,0.02108,19.40732,,,,860.88062,-0.00507,-0.00948,-0.00973,-0.01013,-0.00735,0.01291,,,,,,
="2026/04/02 17:25:09.140",-0.00166,0.00189,0.00379,18.92696,,,,861.0542,-0.0046,-0.00027,-0.00312,-0.01704,-0.00216,0.01079,,,,,,
="2026/04/02 17:25:09.160",0.02155,-0.00635,-0.02524,18.59876,,,,860.49213,-0.00455,-0.00161,0.0146,-0.00549,-0.00211,0.00416,,,,,,
="2026/04/02 17:25:09.180",0.02661,-0.00299,-0.00027,18.17374,,,,859.995,0.00893,-0.00739,0.00524,0.02365,-0.00606,0.00488,,,,,,
="2026/04/02 17:25:09.200",0.01161,0.00616,-0.03081,18.13205,,,,859.64856,0.0025,-0.00398,-0.00178,0.00096,-0.00192,-0.0034,,,,,,
="2026/04/02 17:25:09.220",0.00586,-0.00024,-0.01318,18.93955,,,,859.82782,-0.00868,-0.00948,-0.01176,0.00988,-0.00248,-0.00211,,,,,,
="2026/04/02 17:25:09.240",0.01744,-0.00179,-0.00675,19.76506,,,,860.38007,-0.01165,-0.0014,0.0018,0.0238,-0.0025,-0.01633,,,,,,
="2026/04/02 17:25:09.260",0.00143,0.00382,-0.01709,19.72064,,,,860.36389,-0.00213,-0.00176,-0.0004,0.00432,-0.00175,0.00001,,,,,,
