time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00003.chdata,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 16:27:40.040",0.26569,0.20155,-0.39887,,,,,,,,,,,,,,,,,
="2026/04/02 16:27:40.060",0.38264,0.05241,-0.04093,,,,,,,,,,,,,,,,,
="2026/04/02 16:27:40.080",0.08928,0.0633,-1.34056,,,,,,,,,,,,,,,,,
="2026/04/02 16:27:40.100",0.35483,0.04106,-0.59222,,,,,,,,,,,,,,,,,
="2026/04/02 16:27:40.120",0.1599,0.07202,-0.98259,,,,,,,,,,,,,,,,,
="2026/04/02 16:27:40.140",0.18518,0.09788,-1.00587,,,,,,,,,,,,,,,,,
="2026/04/02 16:27:40.160",0.30027,-0.03907,-0.19277,,,,,,,,,,,,,,,,,
="2026/04/02 16:27:40.180",0.09943,-0.09244,-0.87622,,,,,,,,,,,,,,,,,
="2026/04/02 16:27:40.200",0.11784,-0.11978,0.24783,,,,,,,,,,,,,,,,,
="2026/04/02 16:27:40.220",0.63941,-0.21233,-0.31078,,,,,,,,,,,,,,,,,
="2026/04/02 16:27:40.240",0.27251,-0.26658,-0.17091,,,,,,,,,,,,,,,,,
="2026/04/02 16:27:40.260",0.85233,-0.28929,0.54975,,,,,,,,,,,,,,,,,
="2026/04/02 16:27:40.280",0.72645,-0.36445,-0.52756,,,,,,,,,,,,,,,,,
="2026/04/02 16:27:40.300",0.25475,-0.1075,0.57422,,,,,,,,,,,,,,,,,
="2026/04/02 16:27:40.320",0.81933,0.16789,-0.12383,,,,,,,,,,,,,,,,,
="2026/04/02 16:27:40.340",-0.12937,0.12259,-0.21354,,,,,,,,,,,,,,,,,
="2026/04/02 16:27:40.360",0.0769,0.13896,0.67411,,,,,,,0.01525,0.11442,-1.6222,,,,,,,,
="2026/04/02 16:27:40.380",-0.17084,0.05368,-0.38612,,,,,,,-0.45563,-0.16077,-0.88536,,,,,,,,
="2026/04/02 16:27:40.400",-0.95571,0.05419,0.46621,,,,,,,-0.8481,-0.24831,-0.14614,,,,,,,,
="2026/04/02 16:27:40.420",-0.63068,0.07341,0.4059,,,,,,,-1.25629,-0.27318,0.41164,,,,,,,,
="2026/04/02 16:27:40.440",-1.30693,0.09915,0.14386,,,,,,,-1.03959,-0.56203,1.20053,,,,,,,,
="2026/04/02 16:27:40.460",-1.02046,0.09,1.084,,,,,,,-1.01678,-0.52779,1.34528,,,,,,,,
="2026/04/02 16:27:40.480",-0.63342,0.01184,-0.12667,,,,,,,-0.71048,-0.79798,1.8663,,,,,,,,
="2026/04/02 16:27:40.500",-1.38692,0.16401,1.33742,,,,,,,0.05894,-0.82593,2.14486,,,,,,,,
="2026/04/02 16:27:40.520",0.04824,0.1717,0.66144,,,,,,,0.20207,-0.31925,1.96171,,,,,,,,
="2026/04/02 16:27:40.540",-0.65664,0.2385,0.2503,,,,,,,0.95139,-0.22556,1.79251,,,,,,,,
="2026/04/02 16:27:40.560",-0.07419,0.18004,1.39764,,,,,,,1.0478,0.28736,1.0917,,,,,,,,
="2026/04/02 16:27:40.580",0.69591,-0.20927,-0.31513,,,,,,,1.12796,-0.04912,0.48695,,,,,,,,
="2026/04/02 16:27:40.600",-0.44122,-0.3636,0.28539,,,,,,,1.17771,-0.01791,0.06742,,,,,,,,
="2026/04/02 16:27:40.620",0.92646,-0.14523,0.09805,,,,,,,0.49293,0.21973,-1.09172,,,,,,,,
="2026/04/02 16:27:40.640",0.18004,0.07905,-1.09709,,,,,,,0.1808,0.02333,-1.30936,,,,,,,,
="2026/04/02 16:27:40.660",0.40874,0.21931,0.1482,,,,,,,-0.34616,0.39135,-1.36662,,,,,,,,
="2026/04/02 16:27:40.680",0.8191,0.16025,-1.32461,,,,,,,-1.03475,0.23808,-1.25304,,,,,,,,
="2026/04/02 16:27:40.700",-0.18122,0.09107,-1.01366,,,,,,,-0.95639,0.22221,-1.05323,,,,,,,,
="2026/04/02 16:27:40.720",0.83722,-0.01717,-0.5397,,,,,,,-1.4223,0.42372,-1.27919,,,,,,,,
="2026/04/02 16:27:40.740",0.03984,-0.02187,-1.3601,,,,,,,-1.04523,0.28119,-0.47652,,,,,,,,
="2026/04/02 16:27:40.760",0.11331,0.04275,0.08431,,,,,,,-0.8739,0.54337,-0.37249,,,,,,,,
="2026/04/02 16:27:40.780",1.13195,-0.05041,-1.11709,,,,,,,-0.44024,0.22921,-0.20945,,,,,,,,
="2026/04/02 16:27:40.800",-0.53252,-0.21847,-0.21679,,,,,,,0.39846,-0.02806,0.19968,,,,,,,,
="2026/04/02 16:27:40.820",1.1147,-0.45518,0.41545,,,,,,,0.55399,0.29285,0.18407,,,,,,,,
="2026/04/02 16:27:40.840",0.27572,-0.36781,-0.77303,,,,,,,1.04467,0.08456,0.36535,,,,,,,,
="2026/04/02 16:27:40.860",0.17558,-0.05914,0.91388,,,,,,,1.34762,0.3435,-0.0517,,,,,,,,
="2026/04/02 16:27:40.880",1.13685,-0.02118,0.11593,,,,,,,1.19415,-0.02002,0.02324,,,,,,,,
="2026/04/02 16:27:40.900",-0.35129,-0.10471,-0.06407,,,,,,,1.51085,0.06132,-0.21754,,,,,,,,
="2026/04/02 16:27:40.920",0.80212,-0.14155,0.63969,,,,,,,0.79508,0.13344,-0.03487,,,,,,,,
="2026/04/02 16:27:40.940",-0.30547,-0.09071,-0.49155,,,,,,,0.43935,-0.16136,-0.12521,,,,,,,,
="2026/04/02 16:27:40.960",-0.42247,0.0566,0.51943,,,,,,,-0.0986,-0.05303,-0.21714,,,,,,,,
="2026/04/02 16:27:40.980",-0.05307,0.12705,0.14833,,,,,,,-0.78084,-0.33922,0.00115,,,,,,,,
="2026/04/02 16:27:41.000",-1.41948,0.0981,-0.16711,,,,,,,-0.87575,-0.50312,0.24831,44.86192,,,,911.26135,,,
="2026/04/02 16:27:41.020",-0.40267,0.17434,0.94451,,,,,,,-1.49279,-0.47661,0.77456,24.53547,,,,920.12885,,,
="2026/04/02 16:27:41.040",-1.13442,0.22686,-0.55138,0.12719,-0.02434,-0.00382,,,,-1.32374,-0.56808,1.26548,6.36571,,,,922.52173,-1.92832,-0.21835,0.67476
="2026/04/02 16:27:41.060",-1.60438,0.24374,1.38531,0.08381,0.01421,-0.00771,,,,-0.87207,-0.0438,1.73274,0,,,,913.08447,-1.87539,-0.0208,0.15668
="2026/04/02 16:27:41.080",0.14401,0.13326,0.32378,0.00621,-0.01518,-0.0703,,,,-0.85831,0.08203,1.84805,0,,,,895.25763,-2.07518,-0.16112,0.68654
="2026/04/02 16:27:41.100",-1.58368,0.13675,0.58482,0.18722,0.06877,-0.04203,,,,-0.04242,-0.10554,1.66354,0,,,,875.01062,-0.97804,0.05587,0.15971
="2026/04/02 16:27:41.120",0.22834,-0.07855,1.2002,0.30868,0.03926,0.02173,,,,0.16766,-0.12193,0.95644,0,,,,850.52692,-1.12648,0.11939,0.02741
="2026/04/02 16:27:41.140",-0.10966,-0.15959,0.00889,0.11116,0.01843,0.02543,,,,0.71495,-0.56977,0.9967,0,,,,829.22491,-0.30271,-0.07821,0.00103
="2026/04/02 16:27:41.160",-0.27993,-0.059,0.88006,0.2987,0.07875,0.00498,,,,1.14597,-0.05176,-0.12244,11.7051,,,,812.56305,0.21574,0.16285,-0.68301
="2026/04/02 16:27:41.180",1.27338,0.135,-0.09986,0.37001,0.02708,0.0575,,,,0.85179,-0.18142,-0.08318,30.68777,,,,805.41211,0.23841,-0.02809,-0.14383
="2026/04/02 16:27:41.200",-0.34109,0.06765,-0.76386,0.30051,0.10419,0.15519,,,,1.15776,-0.10564,-0.59563,49.25749,,,,809.0473,1.04024,0.01483,-0.47994
="2026/04/02 16:27:41.220",1.18625,0.00251,-0.0687,0.85784,0.05481,0.0617,,,,0.38327,0.09741,-1.40514,60.17538,,,,819.2937,1.31839,0.08031,-0.73134
="2026/04/02 16:27:41.240",0.56953,-0.0285,-1.35239,0.25266,0.07966,0.07404,,,,0.09503,-0.02717,-1.57408,66.3742,,,,838.54541,2.00311,-0.18438,-0.24269
="2026/04/02 16:27:41.260",0.2926,0.04583,-0.721,0.06236,0.03296,0.0147,,,,-0.20401,0.5208,-1.58538,63.44883,,,,860.86871,2.11865,0.05017,-0.76994
="2026/04/02 16:27:41.280",1.23536,0.1457,-0.74485,-0.06615,0.04969,0.06482,,,,-0.99882,0.6153,-1.02118,52.07049,,,,882.20673,1.76342,-0.06224,-0.51779
="2026/04/02 16:27:41.300",-0.37188,0.18927,-1.46319,0.18825,0.04311,0.01285,,,,-0.83736,0.62987,-0.87358,35.56733,,,,900.69067,2.07407,-0.01514,0.18406
="2026/04/02 16:27:41.320",0.94216,0.11131,-0.10842,0.28367,-0.00509,-0.09041,,,,-1.11483,0.69862,-1.00134,13.92264,,,,910.70984,1.28188,0.09161,-0.44514
="2026/04/02 16:27:41.340",0.45977,-0.05482,-1.42784,-0.03314,-0.02399,0.07924,,,,-0.9763,0.10125,-0.36694,0,,,,913.47815,1.74521,-0.08077,0.16798
="2026/04/02 16:27:41.360",-0.59857,-0.10069,-0.16602,-0.01202,0.05783,-0.06336,-0.4395,0.08097,-0.24309,-0.38627,0.4358,-0.25671,0,0.70104,-0.08273,-1.3277,906.77863,1.67618,0.18503,-0.41599
="2026/04/02 16:27:41.380",1.11959,-0.18556,-0.15048,-0.20707,-0.06072,0.03396,-0.07813,0.17768,0.12447,-0.3814,0.33847,-0.08385,0,-1.35489,-0.04863,-1.15401,890.8064,1.06025,-0.04344,0.24653
="2026/04/02 16:27:41.400",-0.68169,-0.2072,-0.57875,0.09086,-0.00008,0.01817,-0.66192,-0.05274,0.04441,0.57091,0.06822,0.08265,0,-0.9379,-0.42939,0.82051,871.26654,1.37106,-0.05311,0.14072
="2026/04/02 16:27:41.420",0.6158,-0.23642,0.84731,-0.13884,-0.06028,-0.02525,-0.28258,0.02952,0.93869,0.72523,0.17301,-0.20548,0,-1.25327,-0.54176,0.963,848.65735,0.15982,0.01245,-0.08722
="2026/04/02 16:27:41.440",0.18056,-0.32765,-0.18619,-0.2007,-0.03534,-0.05583,-0.29938,-0.17135,0.94548,1.1409,-0.11286,0.3166,0,-2.23961,-0.77182,2.5031,829.63684,0.2531,-0.1637,0.61729
="2026/04/02 16:27:41.460",-0.43541,-0.25478,0.78019,-0.40629,-0.08217,-0.05743,-0.68454,-0.01019,1.32246,1.64745,0.10749,-0.11651,10.35859,-0.78417,-1.0966,3.51292,817.98401,-0.35415,0.15203,-0.25663
