time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00004.chdata,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ
="2026/04/02 17:27:59.360",0.01876,-0.00037,-0.00183,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.380",0.00775,-0.00525,-0.00599,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.400",0.02121,-0.0013,-0.00131,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.420",0.00927,0.00916,0.00357,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.440",0.001,0.00086,0.00869,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.460",-0.00284,0.00435,0.02136,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.480",-0.00439,0.00664,0.01738,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.500",-0.00098,-0.00286,0.01496,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.520",-0.00309,0.00161,0.00179,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.540",-0.00841,0.00698,0.00776,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.560",-0.00924,0.00142,0.00147,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.580",0.00074,0.00321,-0.0093,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.600",0.00503,-0.00101,-0.01288,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.620",0.00835,0.00649,-0.01885,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.640",0.01672,0.00967,-0.00501,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.660",0.02264,-0.00103,-0.00767,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.680",0.01169,0.00832,-0.00185,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.700",0.00893,-0.00084,-0.00084,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.720",0.00294,0.00601,0.01378,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.740",0.00413,-0.00014,0.0104,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.760",-0.00503,0.00279,0.02988,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.780",-0.00824,0.00158,0.00982,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.800",0.00285,0.00604,0.01788,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.820",-0.00856,-0.00093,0.00758,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.840",0.00608,0.00052,-0.0032,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.860",0.00197,0.00098,-0.00086,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.880",0.00041,0.00694,-0.01241,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.900",0.0109,0.00311,-0.02002,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.920",-0.00033,0.00317,-0.0075,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.940",0.02047,0.00324,-0.02392,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.960",0.02043,0.00395,-0.00658,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.980",0.01583,0.00082,-0.00247,,,,,,,,,,,,,,,,,
="2026/04/02 17:28:00.000",0.01294,0.00551,0.01406,,,,,,,19.65249,,,,,,,860.26337,,,
="2026/04/02 17:28:00.020",0.01113,-0.00232,0.00895,,,,,,,19.59733,,,,,,,860.21985,,,
="2026/04/02 17:28:00.040",0.00895,-0.00525,0.01728,,,,-0.01594,-0.00989,0.00119,19.39366,,,,-0.00653,-0.00476,-0.00138,860.53949,-0.0032,-0.00694,0.00229
="2026/04/02 17:28:00.060",0.00361,0.00007,0.02838,,,,-0.03185,-0.00394,0.01782,19.13633,,,,-0.00384,0.00894,0.00731,861.03729,-0.01099,-0.00546,0.00531
="2026/04/02 17:28:00.080",-0.01055,0.00603,0.01458,,,,-0.02227,-0.00641,-0.00626,19.31921,,,,-0.01193,0.00042,-0.0011,860.60541,-0.00384,-0.00007,0.01088
="2026/04/02 17:28:00.100",0.00145,-0.00444,0.0151,,,,0.03206,0.00799,0.00885,19.71398,,,,-0.00573,-0.0045,0.00498,860.35345,-0.01378,0.00215,-0.00473
="2026/04/02 17:28:00.120",-0.00243,0.00112,0.0125,,,,-0.0101,0.0052,0.01457,19.79365,,,,-0.01069,-0.00034,-0.00116,860.86578,0.00916,-0.00326,0.00274
="2026/04/02 17:28:00.140",-0.00406,0.00542,-0.00505,,,,-0.01053,0.0122,0.00186,19.12871,,,,-0.00304,-0.01011,0.01697,861.46881,-0.01063,-0.00948,-0.00315
="2026/04/02 17:28:00.160",0.00003,0.00339,-0.0058,,,,-0.01501,0.00284,0.0121,18.86755,,,,-0.00816,-0.00821,-0.00312,861.83911,-0.00987,-0.00027,-0.00926
="2026/04/02 17:28:00.180",0.00282,0.00924,-0.01244,,,,0.01272,0.00259,0.00888,18.8928,,,,0.00595,0.00814,0.00444,861.67999,0.0048,-0.00056,0.00509
="2026/04/02 17:28:00.200",0.00453,0.00799,-0.00039,,,,-0.02828,0.00114,-0.0011,19.21183,,,,-0.00333,-0.01275,0.0143,860.92816,-0.00248,0.00474,-0.00853
="2026/04/02 17:28:00.220",0.00743,-0.00452,-0.02142,,,,-0.00778,0.00598,0.0286,19.50785,,,,-0.0099,-0.0033,-0.00304,860.67957,0.02313,0.00719,0.00825
="2026/04/02 17:28:00.240",0.01724,0.0073,-0.01141,,,,-0.0016,-0.00535,-0.00109,19.07479,,,,-0.00456,0.00572,0.00916,860.45441,-0.00729,-0.00054,-0.00125
