time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ
="2026/04/02 15:49:50.360",0.02379,0.00416,-0.06187,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.380",0.00649,0.00403,0.05683,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.400",-0.03754,-0.02524,0.16485,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.420",-0.05468,-0.01403,0.24392,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.440",-0.06016,-0.01972,0.27859,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.460",-0.06921,-0.02173,0.26756,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.480",-0.05705,-0.01181,0.21538,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.500",-0.02722,-0.01519,0.11779,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.520",0.04091,-2.22297,-2.31639,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.540",-0.19707,-0.00883,-3.66829,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.560",0.01282,-1.33383,-2.16378,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.580",0.3546,-0.11194,-1.72893,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.600",-0.66896,1.84453,-1.72199,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.620",-0.06642,-0.05119,0.96249,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.640",-0.26047,1.59991,0.46704,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.660",-0.53487,0.7509,1.70119,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.680",-0.09942,-0.05693,3.44614,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.700",-0.4964,1.29572,3.0247,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.720",-0.30741,-0.12416,4.06689,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.740",0.50015,0.067,2.96751,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.760",-0.50304,-0.05825,2.07066,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.780",0.41973,-0.97278,1.48134,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.800",0.09428,-0.27396,-1.1087,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.820",-0.16573,-0.70095,-2.17061,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.840",0.81077,-0.36269,-3.44379,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.860",-0.27874,-0.34835,-4.65531,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.880",0.36761,-0.89325,-4.07988,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.900",0.18309,0.20456,-4.35353,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.920",-0.27284,-0.38503,-3.10769,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.940",0.59143,0.01112,-2.49493,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.960",-0.64278,-0.32739,-0.65327,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.980",0.32056,-0.3059,0.49829,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:51.000",0.21081,0.18304,1.67707,,,,24.01085,866.47986,,,,,,,,,,,,
="2026/04/02 15:49:51.020",-0.15939,-0.21259,3.4225,,,,23.71375,868.40747,,,,,,,,,,,,
