time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 17:03:11.040",0.01026,-0.0006,0.01817,,,,,,,,,,,,,,,,,
="2026/04/02 17:03:11.060",-0.03187,0.00231,-0.034,,,,,,,,,,,,,,,,,
="2026/04/02 17:03:11.080",0.00688,0.01471,-0.04864,,,,,,,,,,,,,,,,,
="2026/04/02 17:03:11.100",-0.00813,0.00537,-0.00202,,,,,,,,,,,,,,,,,
="2026/04/02 17:03:11.120",-0.04744,0.02029,-0.03133,,,,,,,,,,,,,,,,,
="2026/04/02 17:03:11.140",-0.01241,0.02757,-0.01607,,,,,,,,,,,,,,,,,
="2026/04/02 17:03:11.160",-0.01478,0.01694,-0.02006,,,,,,,,,,,,,,,,,
="2026/04/02 17:03:11.180",0.00091,-0.00207,-0.04772,,,,,,,,,,,,,,,,,
="2026/04/02 17:03:11.200",0.03346,-0.00866,-0.01535,,,,,,,,,,,,,,,,,
="2026/04/02 17:03:11.220",0.01498,0.0174,-0.00459,,,,,,,,,,,,,,,,,
="2026/04/02 17:03:11.240",0.04307,-0.01042,-0.0033,,,,,,,,,,,,,,,,,
="2026/04/02 17:03:11.260",0.01639,0.0091,0.00298,,,,,,,,,,,,,,,,,
="2026/04/02 17:03:11.280",0.05065,-0.00512,-0.00009,,,,,,,,,,,,,,,,,
="2026/04/02 17:03:11.300",0.0195,0.00011,0.02814,,,,,,,,,,,,,,,,,
="2026/04/02 17:03:11.320",-0.00295,-0.00471,-0.00218,,,,,,,,,,,,,,,,,
="2026/04/02 17:03:11.340",0.00919,-0.00002,-0.00741,,,,,,,,,,,,,,,,,
="2026/04/02 17:03:11.360",-0.0414,0.00536,-0.00344,-0.01199,-0.00464,0.04523,,,,,,,,,,,,,,
="2026/04/02 17:03:11.380",-0.01587,0.0129,0.00507,-0.03532,-0.02106,0.04246,,,,,,,,,,,,,,
="2026/04/02 17:03:11.400",-0.02843,0.0105,-0.05018,-0.09686,0.00044,0.01655,,,,,,,,,,,,,,
="2026/04/02 17:03:11.420",-0.01875,0.00654,-0.05815,-0.08288,0.01123,-0.01887,,,,,,,,,,,,,,
="2026/04/02 17:03:11.440",-0.02888,0.0007,0.01513,-0.07059,-0.01516,-0.04756,,,,,,,,,,,,,,
="2026/04/02 17:03:11.460",-0.02528,0.004,-0.03191,-0.11737,0.00372,-0.04729,,,,,,,,,,,,,,
