time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ
="2026/04/02 15:58:28.360",0.01246,0.04113,0.33439,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.380",0.20045,-0.02796,0.38009,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.400",0.19489,0.0889,0.02799,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.420",0.09328,-0.06424,-0.16245,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.440",0.18015,-0.05452,-0.24469,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.460",-0.09587,0.10629,-0.36063,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.480",0.01691,-0.07485,-0.52549,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.500",-0.1179,-0.11048,-0.14311,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.520",-0.24221,0.17417,-0.20324,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.540",-0.17946,0.07224,-0.07103,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.560",-0.28932,0.02889,0.11765,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.580",-0.14927,0.02846,0.073,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.600",-0.07106,-0.04952,0.37878,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.620",-0.03903,0.00918,0.345,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.640",0.14031,-0.02905,0.21005,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.660",0.06735,-0.0986,0.23859,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.680",0.30321,0.03196,0.06708,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.700",0.25046,0.03465,-0.09392,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.720",0.17149,-0.02173,-0.26408,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.740",0.23294,0.00398,-0.46245,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.760",0.00818,0.01653,-0.53174,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.780",0.07612,0.03917,-0.49477,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.800",-0.14295,0.05212,-0.42909,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.820",-0.19035,0.05807,-0.17593,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.840",-0.13204,0.07714,-0.11012,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.860",-0.267,0.0015,0.04706,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.880",-0.1366,0.02652,0.08433,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.900",-0.07488,-0.02717,0.17833,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.920",-0.00601,-0.02947,0.22661,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.940",0.17218,0.029,0.23905,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.960",0.1222,-0.03385,0.20087,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:28.980",0.25198,0.02555,-0.02346,,,,,,,,,,,,,,,,,
="2026/04/02 15:58:29.000",0.26967,-0.0643,-0.08015,,,,,,,21.86715,857.17377,,,,,,,,,
="2026/04/02 15:58:29.020",0.17781,0.03162,-0.3335,,,,,,,24.19312,856.12097,,,,,,,,,
="2026/04/02 15:58:29.040",0.19669,0.04184,-0.35746,,,,,,,26.19061,856.72571,0.09234,-0.01548,-0.01982,0.31976,0.01834,-0.08576,,,
="2026/04/02 15:58:29.060",-0.02023,0.04683,-0.45339,,,,,,,27.75106,860.0564,-0.05295,0.01423,-0.14015,0.01,0.01063,-0.03157,,,
="2026/04/02 15:58:29.080",-0.07685,0.10595,-0.45469,,,,,,,27.17638,863.25635,0.12448,-0.08241,0.13639,-0.00307,-0.00957,-0.32387,,,
="2026/04/02 15:58:29.100",-0.1361,0.03779,-0.32147,,,,,,,25.98457,866.89307,-0.01269,0.03578,-0.14378,0.22021,0.01827,0.01547,,,
="2026/04/02 15:58:29.120",-0.26484,0.04341,-0.13204,,,,,,,23.34701,868.51752,0.08368,-0.0365,0.07875,-0.22989,0.03804,-0.16485,,,
="2026/04/02 15:58:29.140",-0.1961,0.03567,-0.05448,,,,,,,19.92664,871.08618,0.12164,-0.00464,-0.02361,0.05569,0.0282,-0.03374,,,
="2026/04/02 15:58:29.160",-0.27477,0.0407,0.14736,,,,,,,17.53332,873.53314,0.12087,0.01902,-0.07108,-0.19537,0.0286,0.03509,,,
="2026/04/02 15:58:29.180",-0.12577,0.0451,0.22862,,,,,,,14.87176,872.4314,0.23276,-0.079,0.13423,-0.11008,-0.01501,-0.03968,,,
="2026/04/02 15:58:29.200",-0.10123,-0.00841,0.28893,,,,,,,13.73177,870.71655,0.26862,0.01751,-0.04257,0.0236,-0.00951,0.08064,,,
="2026/04/02 15:58:29.220",-0.00045,0.03005,0.27895,,,,,,,12.67822,866.62427,0.28891,-0.06742,0.10281,-0.20485,-0.06251,0.02371,,,
="2026/04/02 15:58:29.240",0.14325,-0.10353,0.02818,,,,,,,13.19353,863.09192,0.38776,-0.0178,-0.03865,0.14294,0.00921,0.04074,,,
