time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00003.chdata,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ
="2026/04/02 15:40:46.360",0.06091,0.24748,-0.54352,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.380",-0.15091,-0.25364,-0.281,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.400",0.24165,-0.01025,-0.46116,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.420",-0.23314,0.10205,-0.52981,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.440",0.14801,-0.24187,-0.04514,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.460",-0.04718,0.24093,-0.17675,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.480",-0.15384,-0.16986,0.32382,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.500",0.29791,-0.06817,0.37035,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.520",-0.21548,0.09897,0.3657,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.540",0.18026,-0.20213,0.60516,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.560",0.06175,0.14761,0.2138,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.580",-0.10188,-0.06447,0.26676,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.600",0.28129,-0.15735,0.12415,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.620",-0.10527,0.04737,-0.17172,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.640",0.16356,-0.15344,-0.06351,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.660",0.09014,0.0465,-0.35167,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.680",-0.11803,0.07257,-0.40997,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.700",0.26857,-0.06294,-0.2283,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.720",-0.22727,0.15729,-0.3306,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.740",0.04864,-0.03654,-0.03478,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.760",0.02077,-0.01,0.03065,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.780",-0.18741,0.03299,0.10929,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.800",0.19573,-0.11049,0.37905,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.820",-0.17185,0.09478,0.44437,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.840",0.0314,-0.08657,0.47563,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.860",0.10501,-0.03086,0.31275,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.880",0.00068,-0.04356,0.27461,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.900",0.29885,-0.12099,0.1249,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.920",-0.05431,0.03419,-0.04507,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.940",0.13045,0.05793,-0.16414,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.960",0.13291,-0.0566,-0.31881,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:46.980",-0.09973,-0.05994,-0.36206,,,,,,,,,,,,,,,,,
="2026/04/02 15:40:47.000",0.18361,-0.0605,-0.4193,,,,20.81318,,,,864.38873,,,,,,,,,
="2026/04/02 15:40:47.020",-0.16489,0.02584,-0.17748,,,,19.97929,,,,864.7359,,,,,,,,,
="2026/04/02 15:40:47.040",-0.00011,0.13506,-0.0939,,,,20.30294,0.03688,0.02624,0.00609,865.0329,0.18384,-0.09519,0.24444,,,,-0.10672,-0.09059,-0.48595
="2026/04/02 15:40:47.060",-0.07707,-0.00129,0.18132,,,,20.9168,-0.03886,-0.04153,-0.01679,865.49579,-0.06935,0.16382,-0.38437,,,,0.28906,0.03843,0.38475
="2026/04/02 15:40:47.080",-0.16668,0.10509,0.12484,,,,21.08951,0.0813,-0.0275,0.01296,865.64655,-0.31118,-0.12135,0.44472,,,,-0.53023,0.09664,-0.24321
="2026/04/02 15:40:47.100",0.11342,-0.09995,0.21065,,,,20.35349,0.06082,0.01084,0.00245,864.95319,0.24685,0.01772,-0.15486,,,,0.27123,0.08343,0.11233
="2026/04/02 15:40:47.120",-0.10652,-0.21591,0.35264,,,,20.29378,-0.00034,-0.01022,-0.0038,864.20959,-0.21248,0.00586,-0.08057,,,,-0.27481,0.03049,0.21697
="2026/04/02 15:40:47.140",0.10823,-0.02688,0.35912,,,,20.5642,0.14554,0.01082,0.05461,864.19189,0.017,-0.14831,0.37303,,,,-0.1112,-0.11854,-0.22191
="2026/04/02 15:40:47.160",0.23753,-0.0925,0.48816,,,,20.45093,-0.06762,-0.02319,-0.02182,863.80597,0.04884,0.13054,-0.40223,,,,0.25948,-0.13979,0.34993
="2026/04/02 15:40:47.180",0.00654,0.17362,0.26539,,,,20.59295,0.16138,-0.02598,-0.0397,863.28412,-0.0421,-0.10645,0.40113,,,,-0.3856,-0.05015,-0.21078
="2026/04/02 15:40:47.200",0.20885,0.21537,0.09002,,,,20.64279,0.12054,-0.01594,-0.01191,863.26056,0.10373,0.0114,-0.09337,,,,0.48292,0.06629,-0.10095
="2026/04/02 15:40:47.220",0.01858,0.08767,0.0845,,,,20.6528,0.01381,-0.02081,-0.01677,863.53729,-0.01646,0.05928,-0.18399,,,,-0.17045,0.12766,0.07517
="2026/04/02 15:40:47.240",0.04382,0.18505,-0.25435,,,,20.54502,0.10024,0.00529,0.02423,863.80023,0.00482,-0.12324,0.32701,,,,0.10196,0.12197,-0.35814
="2026/04/02 15:40:47.260",0.00987,-0.03625,-0.16239,,,,20.86638,-0.0107,-0.00085,-0.02457,864.04456,0.12612,0.15405,-0.47462,,,,0.44298,0.1092,0.05607
="2026/04/02 15:40:47.280",-0.10962,0.05155,-0.3758,,,,21.71289,0.1109,-0.00457,0.00035,864.0434,-0.03526,-0.11149,0.23246,,,,-0.40796,0.03395,-0.15011
="2026/04/02 15:40:47.300",0.0068,0.02644,-0.42275,,,,21.63116,0.30585,0.03767,-0.00201,863.75366,0.00953,0.0106,-0.00245,,,,0.61207,-0.00358,-0.26419
="2026/04/02 15:40:47.320",-0.23266,-0.13136,-0.06726,,,,20.96811,-0.03124,-0.03523,-0.04328,863.672,-0.19385,0.04344,-0.21307,,,,-0.22675,-0.03779,0.09709
="2026/04/02 15:40:47.340",-0.09047,0.13887,-0.12789,,,,20.93919,0.07511,0.02652,-0.02025,864.5907,-0.04286,-0.1016,0.38279,,,,0.05214,-0.03336,-0.26538
="2026/04/02 15:40:47.360",-0.14563,-0.04323,0.17032,-0.02987,0.30565,-1.5854,21.29398,-0.00354,-0.02123,-0.00815,865.65533,-0.04032,0.13279,-0.41167,-0.24199,0.1566,0.43086,0.21805,-0.02907,0.10142
