time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 16:16:14.040",-0.01225,-0.01008,0.00926,,,,,,,,,,,,,,,,,
="2026/04/02 16:16:14.060",-0.00067,0.01358,-0.02268,,,,,,,,,,,,,,,,,
="2026/04/02 16:16:14.080",0.00986,-0.00356,-0.00395,,,,,,,,,,,,,,,,,
="2026/04/02 16:16:14.100",0.00093,0.00169,-0.00763,,,,,,,,,,,,,,,,,
="2026/04/02 16:16:14.120",0.01748,-0.00243,-0.01128,,,,,,,,,,,,,,,,,
="2026/04/02 16:16:14.140",-0.00953,0.00794,0.00998,,,,,,,,,,,,,,,,,
="2026/04/02 16:16:14.160",0.00875,-0.00204,0.01186,,,,,,,,,,,,,,,,,
="2026/04/02 16:16:14.180",-0.01644,-0.00624,0.01784,,,,,,,,,,,,,,,,,
="2026/04/02 16:16:14.200",0.00245,-0.00131,0.0008,,,,,,,,,,,,,,,,,
="2026/04/02 16:16:14.220",0.01453,0.0047,0.01369,,,,,,,,,,,,,,,,,
="2026/04/02 16:16:14.240",0.00495,-0.00634,0.02588,,,,,,,,,,,,,,,,,
="2026/04/02 16:16:14.260",-0.00575,0.00541,0.0071,,,,,,,,,,,,,,,,,
="2026/04/02 16:16:14.280",0.00005,0.02119,0.01644,,,,,,,,,,,,,,,,,
="2026/04/02 16:16:14.300",0.00026,-0.0145,-0.03542,,,,,,,,,,,,,,,,,
="2026/04/02 16:16:14.320",-0.00607,0.00268,0.01322,,,,,,,,,,,,,,,,,
="2026/04/02 16:16:14.340",-0.00314,0.00097,0.013,,,,,,,,,,,,,,,,,
="2026/04/02 16:16:14.360",-0.00729,0.01442,0.01545,-0.02187,0.0045,0.03152,,,,,,,,,,,,,,
="2026/04/02 16:16:14.380",0.00212,0.00334,-0.0046,-0.01286,0.0199,-0.00216,,,,,,,,,,,,,,
="2026/04/02 16:16:14.400",-0.00956,0.00531,0.01165,-0.00982,0.01141,0.02711,,,,,,,,,,,,,,
="2026/04/02 16:16:14.420",0.01118,-0.0011,-0.01013,-0.01017,-0.0055,-0.00046,,,,,,,,,,,,,,
="2026/04/02 16:16:14.440",0.01216,0.00173,0.02568,-0.01292,0.00893,0.04305,,,,,,,,,,,,,,
="2026/04/02 16:16:14.460",0.00113,-0.00434,-0.04345,0.01689,-0.00203,0.02577,,,,,,,,,,,,,,
="2026/04/02 16:16:14.480",-0.00414,-0.00685,-0.01532,0.00494,0.00636,0.01533,,,,,,,,,,,,,,
="2026/04/02 16:16:14.500",0.01344,-0.00537,0.02074,0.00486,-0.00453,-0.03961,,,,,,,,,,,,,,
="2026/04/02 16:16:14.520",0.0067,0.00425,0.02518,0.00494,-0.01119,-0.01415,,,,,,,,,,,,,,
="2026/04/02 16:16:14.540",0.00148,-0.01126,0.00658,0.00434,-0.00215,-0.01072,,,,,,,,,,,,,,
="2026/04/02 16:16:14.560",0.02447,-0.0022,-0.03247,0.01468,-0.00627,-0.03434,,,,,,,,,,,,,,
="2026/04/02 16:16:14.580",-0.01505,0.00378,0.01069,0.00879,0.01434,0.03237,,,,,,,,,,,,,,
="2026/04/02 16:16:14.600",0.00798,-0.0001,0.00056,-0.0069,0.00819,0.02845,,,,,,,,,,,,,,
="2026/04/02 16:16:14.620",0.00586,0.01069,0.00289,-0.0134,-0.00736,-0.02416,,,,,,,,,,,,,,
="2026/04/02 16:16:14.640",0.00177,-0.00216,0.01316,0.00994,0.00275,0.03782,,,,,,,,,,,,,,
="2026/04/02 16:16:14.660",-0.01418,0.00991,-0.00791,-0.00003,-0.00597,-0.01414,,,,,,,,,,,,,,
="2026/04/02 16:16:14.680",0.00186,-0.01006,0.00226,0.01906,-0.00306,0.00688,,,,,,,,,,,,,,
="2026/04/02 16:16:14.700",-0.00216,-0.0107,-0.01176,0.00101,-0.00444,-0.00982,,,,,,,,,,,,,,
="2026/04/02 16:16:14.720",0.00829,0.00437,-0.00419,-0.01054,0.00453,0.02414,,,,,,,,,,,,,,
="2026/04/02 16:16:14.740",-0.0132,0.00734,-0.00646,0.0021,-0.00011,-0.01807,,,,,,,,,,,,,,
="2026/04/02 16:16:14.760",0.01303,-0.001,-0.00969,0.00194,0.00638,0.01646,,,,,,,,,,,,,,
="2026/04/02 16:16:14.780",0.00097,0.0006,-0.00396,0.00269,-0.00283,-0.01747,,,,,,,,,,,,,,
="2026/04/02 16:16:14.800",0.00184,0.00366,0.00168,0.01088,-0.00665,-0.00715,,,,,,,,,,,,,,
="2026/04/02 16:16:14.820",0.00726,0.00324,-0.00513,-0.00851,0.00373,0.00795,,,,,,,,,,,,,,
="2026/04/02 16:16:14.840",-0.00225,0.00256,-0.01763,0.02535,0.00907,-0.00488,,,,,,,,,,,,,,
="2026/04/02 16:16:14.860",-0.00082,0.00204,-0.00157,0.00636,0.00271,0.00572,,,,,,,,,,,,,,
="2026/04/02 16:16:14.880",0.00304,0.00256,0.01074,-0.00788,0.0038,-0.02058,,,,,,,,,,,,,,
="2026/04/02 16:16:14.900",0.00573,0.00834,-0.01697,0.00198,-0.00845,0.00158,,,,,,,,,,,,,,
="2026/04/02 16:16:14.920",0.00645,0.00244,0.0122,-0.00657,-0.00881,0.00205,,,,,,,,,,,,,,
="2026/04/02 16:16:14.940",0.01553,0.00922,-0.01819,0.00077,0.01206,0.0233,,,,,,,,,,,,,,
="2026/04/02 16:16:14.960",-0.00675,0.00043,-0.0056,-0.01764,-0.00137,-0.0061,,,,,,,,,,,,,,
="2026/04/02 16:16:14.980",-0.01127,0.00091,0.00268,0.00912,-0.00022,0.00286,,,,,,,,,,,,,,
="2026/04/02 16:16:15.000",-0.00737,0.00243,-0.00267,-0.00752,-0.00094,-0.00348,,,,,,,19.91952,864.81799,,,,,,
="2026/04/02 16:16:15.020",0.00507,0.00392,0.00143,0.00699,-0.00386,0.00341,,,,,,,20.28862,865.09454,,,,,,
="2026/04/02 16:16:15.040",-0.0013,-0.00731,0.01969,-0.0075,0.0005,0.00822,,,,0.00401,0.01252,0.02395,19.34655,864.24072,,,,-0.00479,-0.003,0.00435
="2026/04/02 16:16:15.060",0.00194,0.00649,0.00282,-0.01289,0.00447,0.01823,,,,0.00087,-0.00897,-0.00597,18.83785,863.97266,,,,0.00094,-0.00507,-0.00833
="2026/04/02 16:16:15.080",0.01077,0.00663,-0.00908,0.01373,0.00351,-0.0309,,,,-0.0112,-0.01897,-0.03789,19.64256,864.09534,,,,0.01641,0.00271,-0.04226
="2026/04/02 16:16:15.100",0.01916,-0.0019,0.01866,0.00052,0.0037,-0.0008,,,,0.02774,-0.00218,-0.01467,19.87791,863.76733,,,,-0.00743,0.00499,0.00363
="2026/04/02 16:16:15.120",0.00069,-0.00162,-0.00501,0.01997,0.00446,-0.00947,,,,-0.03832,-0.00688,0.0056,19.52171,863.77081,,,,0.01843,-0.00299,-0.00556
="2026/04/02 16:16:15.140",-0.00962,0.00097,-0.01117,-0.00583,0.00778,-0.00021,,,,-0.02695,0.0008,0.0082,19.52656,863.97375,,,,0.01597,0.00168,0.00383
="2026/04/02 16:16:15.160",0.01668,-0.00118,-0.00802,-0.01016,-0.0008,-0.01426,,,,-0.03195,-0.0024,0.0043,20.34024,863.96558,,,,0.02403,0.00792,-0.03175
="2026/04/02 16:16:15.180",-0.00126,0.00356,0.00751,-0.02655,-0.01009,-0.00824,,,,0.03444,0.01651,0.01518,20.91579,863.58649,,,,-0.01776,0.0069,0.00838
="2026/04/02 16:16:15.200",0.00167,0.00357,-0.0081,-0.02555,0.00501,-0.02187,,,,0.0384,0.00813,0.00156,20.58432,863.50085,,,,-0.00119,-0.00307,0.02052
="2026/04/02 16:16:15.220",0.00762,-0.00446,-0.00208,-0.00827,-0.00397,-0.00077,,,,0.04822,0.01227,-0.00697,20.1734,864.01862,,,,0.00299,-0.00379,-0.00324
="2026/04/02 16:16:15.240",-0.0021,0.00797,0.00497,-0.00534,0.00919,0.00542,,,,0.01718,0.0066,0.01155,19.55582,864.52557,,,,-0.01382,0.00628,0.00292
="2026/04/02 16:16:15.260",-0.00317,-0.00177,0.00222,-0.01939,-0.0021,0.00641,,,,-0.02198,0.00215,0.03038,19.27077,864.7348,,,,0.01308,0.00389,-0.00511
="2026/04/02 16:16:15.280",-0.00573,0.00514,-0.02359,-0.01587,0.0017,0.01776,,,,-0.03371,-0.00038,-0.00559,19.89479,864.66479,,,,0.00843,-0.00486,0.00398
="2026/04/02 16:16:15.300",-0.01051,0.00611,0.00554,-0.01857,-0.00082,0.00464,,,,0.0064,0.01081,0.01521,19.95012,865.36554,,,,-0.00858,-0.00936,0.01381
="2026/04/02 16:16:15.320",0.01184,0.00261,-0.00702,0.00332,-0.00947,0.00708,,,,-0.00185,0.00315,0.01242,19.78399,865.51709,,,,-0.00008,-0.0031,0.03417
="2026/04/02 16:16:15.340",-0.01315,-0.00267,-0.01496,-0.01739,-0.00027,-0.01938,,,,0.03441,0.01196,0.00014,20.30236,865.01099,,,,-0.00209,0.00321,-0.01237
="2026/04/02 16:16:15.360",-0.01682,-0.01525,0.00721,-0.02671,-0.0187,-0.03436,0.00628,0.0001,0.01319,-0.01099,-0.01045,-0.01222,20.16339,864.77808,-0.01203,-0.00237,-0.02154,-0.00018,0.00193,0.01845
="2026/04/02 16:16:15.380",0.00324,0.00747,-0.01244,-0.01381,-0.0045,-0.0218,0.00782,0.00493,0.04193,0.00886,0.00175,-0.01544,19.3749,864.47998,0.02123,0.00506,-0.00039,0.01132,0.00209,0.00297
="2026/04/02 16:16:15.400",0.02064,0.00533,0.0188,0.03214,0.0151,0.02982,0.00093,0.00164,-0.00338,0.00183,0.00683,0.0087,18.95194,864.38513,0.03218,-0.00574,-0.01118,-0.00373,0.01127,0.00483
="2026/04/02 16:16:15.420",-0.00124,0.00244,-0.0005,0.03512,0.00122,0.01503,-0.04659,0.00003,0.00992,-0.00082,-0.0085,-0.00564,19.52882,863.98212,0.00489,0.0055,0.02031,0.0052,0.00784,0.00083
="2026/04/02 16:16:15.440",-0.006,0.00819,-0.00745,0.00076,0.00686,0.00639,-0.01514,-0.0067,-0.02997,0.01613,0.00401,-0.0022,20.14105,863.92999,0.00331,-0.00415,-0.01895,-0.00506,0.00567,0.00293
="2026/04/02 16:16:15.460",0.0057,0.00699,0.01752,0.021,-0.00778,-0.00118,-0.02065,-0.00766,-0.02338,-0.01502,0.01349,0.00737,20.20198,864.16119,-0.01532,0.00723,0.00848,0.02432,0.0058,-0.00081
="2026/04/02 16:16:15.480",0.01418,-0.00369,0.00137,0.01721,0.00278,0.01755,0.04808,-0.00031,0.01668,0.0081,-0.00534,0.00029,20.82244,864.45428,-0.0079,-0.00653,0.01682,0.00292,0.00611,0.02222
="2026/04/02 16:16:15.500",0.0028,-0.0047,-0.00344,-0.00371,0.0086,0.00424,0.02982,0.00627,-0.00938,-0.00735,0.00275,0.0072,21.27163,864.77771,-0.00793,-0.00536,-0.00178,0.006,0.00087,0.03835
="2026/04/02 16:16:15.520",-0.01532,-0.00084,-0.00703,-0.00905,0.00202,-0.01255,0.04556,-0.00716,-0.00523,0.01323,0.00281,0.01241,20.73977,864.83942,0.00405,-0.00039,-0.01013,-0.00765,-0.00505,-0.01243
="2026/04/02 16:16:15.540",-0.01058,-0.00001,0.02871,-0.00801,0.00787,0.00056,-0.00121,-0.00669,-0.01277,0.03798,0.00549,-0.0104,20.53659,864.91547,0.0012,0.00386,0.02745,0.00455,-0.00142,-0.00889
="2026/04/02 16:16:15.560",-0.00116,-0.00465,-0.01711,-0.01825,0.00156,0.00375,0.03602,0.0018,-0.04407,-0.05333,-0.01243,-0.00411,20.6996,864.88391,-0.00138,-0.00214,-0.0152,0.00641,0.00429,0.03752
="2026/04/02 16:16:15.580",0.00786,-0.00791,-0.00694,-0.03365,0.00558,-0.00635,-0.0106,-0.01491,-0.03422,-0.0419,-0.00614,-0.00117,20.76505,864.78949,-0.00539,0.00163,0.01509,0.00058,0.00116,0.0009
="2026/04/02 16:16:15.600",-0.00364,-0.00382,-0.01025,0.01329,0.00079,0.00673,-0.03823,0.00535,-0.00335,0.03279,-0.00157,-0.00855,19.85419,864.29553,-0.01305,-0.00803,-0.01591,-0.00947,-0.00207,0.00884
="2026/04/02 16:16:15.620",0.01549,0.00345,0.00755,-0.01899,-0.00195,0.00308,0.03173,-0.00343,-0.00572,-0.07273,-0.02195,-0.00491,18.81228,864.28967,0.00615,-0.00396,0.03647,0.02175,0.00511,-0.01457
="2026/04/02 16:16:15.640",-0.00954,-0.00735,-0.00447,0.02627,-0.00231,-0.00313,-0.00857,0.0048,0.0045,0.02422,-0.00433,-0.00167,19.50976,864.50397,0.00639,0.00182,0.01565,-0.00324,-0.00272,-0.00242
="2026/04/02 16:16:15.660",0.01027,-0.00519,-0.00171,0.01554,0.00138,-0.00143,0.00103,0.00311,0.00352,-0.0156,0.0034,-0.00272,20.39132,864.48303,-0.02792,-0.00632,-0.04599,-0.00242,0.00449,0.00368
="2026/04/02 16:16:15.680",-0.00291,-0.00125,-0.0133,0.00245,0.00466,-0.00525,-0.00068,0.00855,0.05076,0.02592,-0.00083,0.00154,20.50551,864.50104,-0.01946,-0.00332,-0.00216,0.00856,0.00557,-0.01684
="2026/04/02 16:16:15.700",0.01072,0.00975,-0.01089,-0.01434,0.00196,-0.01198,0.01604,0.00686,-0.02409,-0.03208,-0.00563,0.01366,19.88412,864.5376,-0.01977,-0.00208,0.00749,0.0004,-0.00097,0.00516
="2026/04/02 16:16:15.720",0.0167,-0.00084,0.00555,0.00208,-0.00372,-0.00135,-0.00179,-0.00444,-0.01427,0.01351,0.00433,-0.02164,19.76998,864.40076,0.0096,-0.00133,-0.027,0.01328,-0.00378,-0.00384
="2026/04/02 16:16:15.740",0.00395,0.00076,0.00788,-0.01713,0.00104,-0.02452,-0.00562,0.00261,0.04922,0.00613,-0.00441,0.00768,20.62221,864.2041,0.01706,-0.00265,0.00072,-0.00934,0.00543,-0.00161
="2026/04/02 16:16:15.760",-0.006,0.00758,-0.01292,-0.00317,-0.00618,-0.01739,-0.00103,-0.00326,0.0031,0.00836,-0.00135,0.00269,20.82735,864.25903,0.00687,-0.00348,-0.01243,0.00732,-0.00341,-0.01019
="2026/04/02 16:16:15.780",-0.00847,-0.00273,0.00091,0.00511,0.00125,0.0107,0.00545,0.00162,-0.00466,-0.03409,-0.01467,0.00976,20.29178,864.14972,0.00876,-0.00515,-0.01053,0.00005,0.00708,0.01333
="2026/04/02 16:16:15.800",-0.01618,0.00641,-0.00688,0.01269,0.00708,0.01739,0.0008,-0.00397,0.00857,-0.02439,-0.00122,0.0071,20.24449,864.37494,0.00737,0.00636,0.01156,-0.00719,-0.00161,0.00903
="2026/04/02 16:16:15.820",0.0055,-0.00824,-0.00251,-0.00673,-0.00037,0.00314,0.02355,-0.00623,0.00256,-0.03026,-0.00596,0.00328,20.28218,864.94965,0.00708,-0.00431,0.0044,-0.00755,-0.00015,0.00848
="2026/04/02 16:16:15.840",-0.00087,-0.00014,0.00876,0.00875,-0.00134,-0.02385,0.00986,0.00052,0.00526,0.00122,0.00582,0.014,20.11189,864.87256,0.00149,-0.00105,0.01634,0.01305,0.00123,-0.01552
="2026/04/02 16:16:15.860",0.00156,-0.0087,-0.01293,-0.02029,-0.00058,-0.0102,0.00543,0.01024,0.01041,0.02286,-0.00124,0.00093,19.75419,864.61401,0.00276,0.00594,0.00422,-0.01526,0.00483,0.02446
