time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 16:30:29.040",-0.01414,0.0034,-0.0011,,,,,,,,,,,,,,,,,
="2026/04/02 16:30:29.060",-0.01386,0.00578,-0.00708,,,,,,,,,,,,,,,,,
="2026/04/02 16:30:29.080",-0.00917,-0.00276,0.01122,,,,,,,,,,,,,,,,,
="2026/04/02 16:30:29.100",-0.01225,0.00643,0.00339,,,,,,,,,,,,,,,,,
="2026/04/02 16:30:29.120",0.00223,-0.00301,0.02486,,,,,,,,,,,,,,,,,
="2026/04/02 16:30:29.140",0.00466,0.00109,0.01656,,,,,,,,,,,,,,,,,
="2026/04/02 16:30:29.160",0.00058,0.00147,0.01544,,,,,,,,,,,,,,,,,
="2026/04/02 16:30:29.180",0.01254,0.00511,0.02707,,,,,,,,,,,,,,,,,
="2026/04/02 16:30:29.200",-0.00256,-0.00085,0.00151,,,,,,,,,,,,,,,,,
="2026/04/02 16:30:29.220",0.00393,0.00258,0.01241,,,,,,,,,,,,,,,,,
="2026/04/02 16:30:29.240",0.0089,0.01414,0.01149,,,,,,,,,,,,,,,,,
="2026/04/02 16:30:29.260",-0.00867,0.00945,-0.00025,,,,,,,,,,,,,,,,,
="2026/04/02 16:30:29.280",0.00205,0.0034,-0.01607,,,,,,,,,,,,,,,,,
="2026/04/02 16:30:29.300",-0.00861,0.00493,-0.02669,,,,,,,,,,,,,,,,,
="2026/04/02 16:30:29.320",-0.00916,0.00991,-0.01652,,,,,,,,,,,,,,,,,
="2026/04/02 16:30:29.340",-0.01895,0.00488,-0.01618,,,,,,,,,,,,,,,,,
="2026/04/02 16:30:29.360",-0.01513,0.00318,0.01613,,,,,,,-0.05711,-0.00288,0.00473,,,,,,,,
="2026/04/02 16:30:29.380",-0.01488,0.00338,0.02359,,,,,,,-0.03139,-0.00109,0.0176,,,,,,,,
="2026/04/02 16:30:29.400",-0.01891,-0.00191,0.01807,,,,,,,-0.00645,0.00272,0.0435,,,,,,,,
="2026/04/02 16:30:29.420",0.0015,-0.00117,0.01631,,,,,,,0.01761,-0.00185,0.03568,,,,,,,,
="2026/04/02 16:30:29.440",0.00081,-0.00477,0.0047,,,,,,,0.03133,-0.00238,0.03496,,,,,,,,
="2026/04/02 16:30:29.460",0.01833,-0.00507,0.01179,,,,,,,0.05363,-0.00038,0.02577,,,,,,,,
="2026/04/02 16:30:29.480",0.02133,-0.01253,0.01231,,,,,,,0.0516,-0.00439,0.01249,,,,,,,,
="2026/04/02 16:30:29.500",0.00101,-0.0097,0.00766,,,,,,,0.06281,-0.00258,0.00683,,,,,,,,
="2026/04/02 16:30:29.520",0.02605,-0.00579,0.00945,,,,,,,0.03008,0.00239,-0.01462,,,,,,,,
="2026/04/02 16:30:29.540",0.00279,0.00492,-0.0026,,,,,,,0.00303,0.004,-0.0218,,,,,,,,
="2026/04/02 16:30:29.560",0.00622,0.00483,-0.00573,,,,,,,0.00051,0.00097,-0.03234,,,,,,,,
="2026/04/02 16:30:29.580",0.00503,0.00743,-0.0159,,,,,,,-0.02029,0.01046,-0.02208,,,,,,,,
="2026/04/02 16:30:29.600",-0.0099,0.01432,-0.02034,,,,,,,-0.04086,0.00142,-0.02627,,,,,,,,
