time,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00004.chdata,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ
="2026/04/02 17:06:15.360",-0.0097,-0.00361,0.01946,0.00954,0.01244,0.01355,19.38955,-0.06888,0.00978,0.04156,-0.01957,0.00418,0.01122,860.92603,0.02166,0.01651,-0.04555,0.0466,-0.01986,0.01629
="2026/04/02 17:06:15.380",-0.01819,0.0302,-0.08444,-0.00174,0.00404,0.01564,20.00616,0.00791,-0.01578,0.01678,-0.00535,0.02181,0.00657,861.0827,0.00161,0.00275,-0.02312,-0.00836,0.01599,-0.02711
="2026/04/02 17:06:15.400",-0.02439,0.00572,-0.03243,-0.00578,0.00452,-0.00851,19.88766,0.0067,-0.04561,-0.05877,-0.02964,0.00316,0.03278,860.37677,0.00861,-0.01033,0.01276,-0.03972,-0.01798,-0.02501
="2026/04/02 17:06:15.420",-0.00143,0.03821,-0.01914,0.01264,-0.00252,-0.02172,19.36592,0.00043,-0.00576,-0.06926,0.02081,-0.00446,-0.01518,859.53601,0.01491,-0.0048,-0.03657,0.08472,0.00344,0.00288
="2026/04/02 17:06:15.440",-0.02973,0.00843,0.00423,0.02404,0.01659,0.00897,19.37632,0.00852,0.00492,-0.02663,0.00383,-0.00312,-0.00344,859.74091,-0.03313,0.00653,0.02583,0.00168,0.00717,-0.01219
="2026/04/02 17:06:15.460",0.04443,0.01606,-0.05568,-0.0078,-0.01597,-0.02839,19.7584,-0.04345,0.0109,0.04575,0.0187,0.00667,0.01875,860.37549,-0.02615,-0.00575,-0.0065,0.10041,0.01116,0.00626
="2026/04/02 17:06:15.480",0.01952,-0.01653,-0.0897,0.02661,0.02615,0.01999,19.96815,-0.04209,0.01495,0.03097,-0.03243,0.00568,0.01736,860.48926,0.01442,-0.01239,0.0093,-0.01061,-0.0177,0.02973
="2026/04/02 17:06:15.500",-0.01329,0.00517,-0.00638,-0.00467,-0.02267,-0.01385,19.69493,-0.00846,0.00758,0.02027,-0.01856,0.00594,0.00748,860.3808,-0.00614,0.00148,0.00271,0.03423,0.00765,0.02389
="2026/04/02 17:06:15.520",-0.0415,-0.00795,0.00794,0.00786,-0.01475,-0.01918,19.5113,-0.0408,0.00768,0.02378,-0.05812,-0.00239,-0.01835,860.07086,-0.01715,0.01036,0.01365,-0.02768,-0.00841,-0.02276
="2026/04/02 17:06:15.540",-0.02692,0.00205,-0.03004,0.00377,-0.00632,-0.00899,19.87218,-0.01729,-0.00752,0.0221,0.01124,0.00685,-0.01648,860.18646,0.00267,0.01934,-0.00631,0.05423,-0.00951,0.02423
="2026/04/02 17:06:15.560",-0.02811,-0.01039,0.01607,0.00664,0.00141,-0.00658,19.95723,-0.02047,0.00896,0.02052,-0.01896,-0.00534,-0.03208,860.02136,-0.00019,-0.02732,0.01617,-0.03887,0.00093,-0.0312
="2026/04/02 17:06:15.580",-0.02145,-0.01343,-0.04532,-0.01106,-0.01288,-0.03489,19.76346,-0.03328,-0.00725,-0.02126,0.03208,-0.01107,-0.02736,860.04712,-0.01311,-0.00714,-0.01189,-0.00093,-0.02484,0.03382
="2026/04/02 17:06:15.600",-0.01141,-0.00567,0.03276,0.01519,-0.00451,-0.00502,19.77699,0.0489,0.00243,0.02108,0.00502,0.01709,0.03957,859.73535,0.01046,-0.00547,0.03458,0.03605,0.00321,0.03447
