time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00003.chdata,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00004.chdata
="2026/04/02 16:33:13.040",-0.5045,0.03314,0.53029,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.060",0.57028,-0.05172,-0.64227,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.080",-0.31348,-0.01054,0.00462,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.100",0.06044,-0.06238,0.86545,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.120",0.39543,-0.15752,-0.10198,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.140",-0.75889,-0.16325,1.1164,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.160",0.15633,-0.15043,0.88569,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.180",-0.79723,-0.21101,0.58906,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.200",-1.05826,-0.11625,1.47649,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.220",-0.5376,-0.05243,0.41707,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.240",-0.74017,-0.29291,0.4237,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.260",-0.74994,-0.33489,1.31176,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.280",-0.16483,0.00153,-0.731,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.300",-0.26822,0.16185,0.44522,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.320",0.5323,-0.09851,-0.11519,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.340",0.58408,-0.13063,-1.22501,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.360",0.67751,-0.0718,-0.06413,,,,,,,,,,,,,,0.35505,-0.17791,-2.95959,
="2026/04/02 16:33:13.380",1.29452,-0.00782,-1.19982,,,,,,,,,,,,,,0.72776,-0.55735,-3.05602,
="2026/04/02 16:33:13.400",0.53943,0.02682,-0.57835,,,,,,,,,,,,,,0.85874,-0.43646,-3.33154,
="2026/04/02 16:33:13.420",0.88483,0.12944,-0.23805,,,,,,,,,,,,,,0.90804,-0.28087,-3.43379,
="2026/04/02 16:33:13.440",0.84807,0.19552,-1.13965,,,,,,,,,,,,,,0.79919,-0.4183,-1.63022,
="2026/04/02 16:33:13.460",0.09543,0.03744,0.34217,,,,,,,,,,,,,,0.55219,-0.29187,-1.89539,
="2026/04/02 16:33:13.480",-0.04714,0.22641,0.00819,,,,,,,,,,,,,,-0.16484,-0.2705,-1.33143,
="2026/04/02 16:33:13.500",-0.13525,0.08461,-0.6512,,,,,,,,,,,,,,-0.27459,-0.73581,-0.48574,
