time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 15:34:51.040",0.00458,-0.00422,-0.00557,,,,,,,,,,,,,,,,,
="2026/04/02 15:34:51.060",-0.00014,-0.00041,0.0087,,,,,,,,,,,,,,,,,
="2026/04/02 15:34:51.080",-0.01185,-0.00713,0.00423,,,,,,,,,,,,,,,,,
="2026/04/02 15:34:51.100",-0.00179,-0.00925,-0.00263,,,,,,,,,,,,,,,,,
="2026/04/02 15:34:51.120",-0.00009,0.00786,0.00604,,,,,,,,,,,,,,,,,
="2026/04/02 15:34:51.140",0.00373,0.00282,0.00222,,,,,,,,,,,,,,,,,
="2026/04/02 15:34:51.160",-0.00976,0.00142,-0.00265,,,,,,,,,,,,,,,,,
="2026/04/02 15:34:51.180",-0.0038,-0.00801,0.00218,,,,,,,,,,,,,,,,,
="2026/04/02 15:34:51.200",0.00212,-0.00417,0.00337,,,,,,,,,,,,,,,,,
="2026/04/02 15:34:51.220",-0.00403,0.00082,0.0062,,,,,,,,,,,,,,,,,
="2026/04/02 15:34:51.240",0.00467,0.00116,-0.00702,,,,,,,,,,,,,,,,,
="2026/04/02 15:34:51.260",0.00112,-0.00195,-0.00935,,,,,,,,,,,,,,,,,
="2026/04/02 15:34:51.280",-0.00214,0.00469,-0.00597,,,,,,,,,,,,,,,,,
="2026/04/02 15:34:51.300",0.0036,-0.00279,-0.00056,,,,,,,,,,,,,,,,,
="2026/04/02 15:34:51.320",-0.00024,-0.00006,0.01518,,,,,,,,,,,,,,,,,
="2026/04/02 15:34:51.340",-0.00322,-0.0037,0.00296,,,,,,,,,,,,,,,,,
="2026/04/02 15:34:51.360",0.00908,0.00239,0.0167,,,,,,,-0.00115,-0.00207,0.00664,,,,,,,,
="2026/04/02 15:34:51.380",-0.00525,-0.00718,0.00319,,,,,,,0.00038,0.00338,0.02245,,,,,,,,
="2026/04/02 15:34:51.400",-0.00323,-0.0077,-0.00439,,,,,,,0.00589,-0.00868,-0.00409,,,,,,,,
="2026/04/02 15:34:51.420",-0.00312,0.00417,0.00998,,,,,,,0.00289,0.00325,-0.00621,,,,,,,,
="2026/04/02 15:34:51.440",-0.00466,0.0058,0.00292,,,,,,,0.00073,0.00344,0.01619,,,,,,,,
="2026/04/02 15:34:51.460",-0.00378,-0.00784,0.0098,,,,,,,-0.0039,0.00087,-0.00826,,,,,,,,
="2026/04/02 15:34:51.480",-0.00471,-0.00496,-0.00374,,,,,,,0.00634,-0.00608,0.00491,,,,,,,,
="2026/04/02 15:34:51.500",-0.00064,-0.0077,0.0041,,,,,,,-0.00819,0.01216,-0.00792,,,,,,,,
="2026/04/02 15:34:51.520",0.00938,0.00732,-0.00894,,,,,,,-0.0107,-0.00171,0.00614,,,,,,,,
="2026/04/02 15:34:51.540",0.00487,0.005,0.00679,,,,,,,0.0053,0.00353,-0.01127,,,,,,,,
="2026/04/02 15:34:51.560",-0.0062,0.01077,0.00792,,,,,,,-0.00481,-0.00239,-0.00806,,,,,,,,
="2026/04/02 15:34:51.580",0.00445,-0.00452,0.01141,,,,,,,0.00044,-0.00304,-0.01029,,,,,,,,
="2026/04/02 15:34:51.600",0.01768,-0.01044,-0.01307,,,,,,,-0.00341,0.00368,-0.0041,,,,,,,,
="2026/04/02 15:34:51.620",0.00853,-0.00385,0.00213,,,,,,,-0.00486,-0.00195,-0.00604,,,,,,,,
="2026/04/02 15:34:51.640",0.01219,-0.00272,0.00035,,,,,,,0.00013,0.00886,0.00477,,,,,,,,
="2026/04/02 15:34:51.660",0.00692,-0.00002,0.01166,,,,,,,-0.00535,-0.00431,-0.00211,,,,,,,,
="2026/04/02 15:34:51.680",0.00452,0.00381,0.00479,,,,,,,0.00155,0.00913,-0.00141,,,,,,,,
="2026/04/02 15:34:51.700",0.00162,0.00374,-0.00269,,,,,,,0.00739,0.00119,0.00009,,,,,,,,
="2026/04/02 15:34:51.720",-0.00166,0.00161,-0.0008,,,,,,,0.00461,-0.01407,0.00301,,,,,,,,
="2026/04/02 15:34:51.740",0.00561,-0.00141,0.00116,,,,,,,-0.01547,-0.00171,-0.00419,,,,,,,,
="2026/04/02 15:34:51.760",-0.00372,0.00495,-0.00231,,,,,,,0.00285,0.00983,0.00267,,,,,,,,
="2026/04/02 15:34:51.780",0.00009,-0.00294,0.00157,,,,,,,0.01081,0.00091,-0.0042,,,,,,,,
="2026/04/02 15:34:51.800",0.0023,0.00058,-0.01363,,,,,,,-0.00428,-0.00011,-0.00897,,,,,,,,
="2026/04/02 15:34:51.820",0.00751,-0.00571,0.00027,,,,,,,0.00152,0.00383,-0.00252,,,,,,,,
="2026/04/02 15:34:51.840",0.00076,0.00055,0.01886,,,,,,,-0.01585,-0.00236,0.00071,,,,,,,,
="2026/04/02 15:34:51.860",0.00472,-0.01181,0.00798,,,,,,,-0.01047,0.0025,-0.00211,,,,,,,,
="2026/04/02 15:34:51.880",0.00186,-0.00348,-0.0014,,,,,,,-0.01316,0.00719,0.00811,,,,,,,,
="2026/04/02 15:34:51.900",0.00102,0.00271,0.00365,,,,,,,-0.00174,-0.00267,0.008,,,,,,,,
="2026/04/02 15:34:51.920",-0.00732,0.00443,-0.00711,,,,,,,-0.01199,-0.00252,0.00045,,,,,,,,
="2026/04/02 15:34:51.940",-0.00498,0.00002,0.00544,,,,,,,-0.0088,0.0029,0.00368,,,,,,,,
="2026/04/02 15:34:51.960",0.00007,-0.00158,0.00658,,,,,,,0.00623,0.00039,0.0124,,,,,,,,
="2026/04/02 15:34:51.980",0.0001,-0.00469,0.00696,,,,,,,0.01328,0.00213,0.01257,,,,,,,,
="2026/04/02 15:34:52.000",0.00351,-0.00385,0.00732,,,,,,,0.0027,0.00366,-0.00853,,,,22.08171,863.0661,,,
="2026/04/02 15:34:52.020",0.00239,0.00168,0.01077,,,,,,,-0.0023,-0.00555,0.00582,,,,22.10936,862.94263,,,
="2026/04/02 15:34:52.360",0.00194,-0.00341,-0.00369,-0.00052,-0.00105,0.01154,-0.02177,-0.01422,0.00569,-0.00047,-0.00136,-0.00439,-0.00521,-0.0027,-0.00191,22.25362,863.98633,0.00008,-0.0028,-0.01254
="2026/04/02 15:34:52.380",-0.0018,0.00195,0.01564,-0.00461,-0.0024,-0.00909,0.03726,0.00371,-0.00115,0.01058,0.01029,0.01057,-0.00499,-0.00105,-0.00163,22.23751,863.40167,0.00068,-0.00028,0.00246
="2026/04/02 15:34:52.400",0.00623,-0.00444,-0.00566,0.00198,0.00075,-0.00142,0.00403,-0.00334,-0.00253,0.00916,-0.00138,0.00615,0.00246,-0.00413,0.00157,22.34855,863.24683,0.01052,0.00176,-0.00783
="2026/04/02 15:34:52.420",-0.00139,-0.00556,-0.00518,0.01846,0.0075,-0.00038,-0.00968,-0.00127,-0.00485,0.00356,0.00329,0.00326,-0.00735,0.00361,0.00161,22.52603,863.46045,-0.00013,0.00747,0.0172
="2026/04/02 15:34:52.440",-0.00826,-0.00712,-0.00672,-0.00285,-0.00136,-0.01614,0.0377,0.01394,0.02898,-0.01157,0.00219,-0.00744,-0.00017,0.00514,-0.00132,22.56167,863.88623,0.01332,-0.01289,-0.01362
="2026/04/02 15:34:52.460",0.00751,0.00008,-0.00332,0.00859,0.00238,-0.00534,-0.0092,-0.00152,-0.00342,-0.00898,0.00824,0.00585,0.00175,0.00023,-0.0088,22.34336,863.37128,-0.00565,-0.00705,-0.00711
="2026/04/02 15:34:52.480",0.00435,0.00508,-0.00383,0.00123,-0.00047,-0.00119,0.02401,-0.00088,0.0044,-0.01143,0.0007,-0.01076,0.00785,0.00678,0.00225,22.83886,863.00861,0.00345,0.0034,0.00405
="2026/04/02 15:34:52.500",0.00868,-0.00421,-0.00051,-0.00069,-0.00122,-0.01875,-0.00556,-0.00206,-0.00189,-0.00506,-0.00369,-0.00452,-0.00245,-0.00204,0.00694,22.77889,863.48993,0.00906,-0.00486,-0.00696
="2026/04/02 15:34:52.520",-0.00144,0.00096,0.00411,0.00344,0.0008,-0.00583,0.00453,-0.00544,-0.00354,0.00034,0.00049,0.00036,0.00424,0.00101,-0.00903,22.58938,863.65204,-0.0036,-0.00413,0.01253
="2026/04/02 15:34:52.540",0.01055,-0.00496,0.01246,0.00354,-0.01099,-0.00648,0.00185,-0.00154,0.00098,0.00346,-0.00063,-0.00333,0.00147,0.00179,0.00692,22.38589,863.61017,-0.00126,0.00965,0.01859
="2026/04/02 15:34:52.560",0.00298,-0.0026,-0.00816,-0.00862,0.00201,-0.01471,0.02031,0.00111,0.00865,-0.00696,0.00346,0.00736,0.00611,0.00734,-0.00362,22.0627,863.73639,-0.00721,0.01415,0.01505
="2026/04/02 15:34:52.580",0.00433,0.00585,-0.00243,0.00027,-0.00169,-0.01683,-0.00734,-0.00411,-0.00206,0.00324,0.00279,0.00103,-0.00277,0.00185,-0.01233,21.38007,863.63104,0.00375,0.00144,0.0103
="2026/04/02 15:34:52.600",0.00315,0.00842,-0.00133,-0.00621,-0.00047,-0.00594,-0.02928,-0.00949,0.00536,0.00084,0.00572,0.00104,-0.00091,0.00544,-0.00979,21.18053,863.42194,-0.00235,-0.00331,0.00771
="2026/04/02 15:34:52.620",-0.0085,-0.00101,0.01727,0.0259,0.00607,0.0055,0.00021,0.00184,-0.00403,-0.0031,0.00098,0.00239,-0.00678,-0.00254,0.01382,21.45556,863.73181,0.00669,0.00374,0.01598
="2026/04/02 15:34:52.640",-0.00316,-0.00068,-0.00471,-0.00262,0.00228,-0.00052,0.03216,0.01098,-0.00182,0.0135,-0.00343,-0.00648,-0.00287,-0.00026,-0.00408,21.36323,863.95831,0.00055,-0.0057,0.00181
